Ecosystem Name,Type,Count
stream communities,aquatic,1
Windermere Lake Ecosystem,aquatic,1
Xingyun Lake Ecosystem,aquatic,1
reef,aquatic,1
Patagonian basin ecosystem,aquatic,1
lentic environments,aquatic,1
lotic environments,aquatic,2
degraded reef ecosystems,marine,1
freshwater aquatic ecosystems,aquatic,2
River Rhine system,aquatic,1
aquatic ecosystems in West Bengal and Karnataka,aquatic,1
Socio-ecological system,terrestrial,1
cassava systems,terrestrial,1
forest plantations,terrestrial,1
toad-infested areas,terrestrial,1
cool temperate ecosystem,terrestrial,1
acacia-invaded ecosystem,terrestrial,1
temperate regions,terrestrial,5
Patagonian ecosystem,aquatic,2
coastal ecosystems,terrestrial,8
Peracarida community ecosystem,aquatic,1
Rhine ecosystem,aquatic,1
fluvial corridors,aquatic,1
Mediterranean coastal marine ecosystems,marine,1
Paraná River ecosystem,aquatic,2
large lake ecosystem,aquatic,1
surf zone hyperbenthic community,marine,1
continental habitats,terrestrial,1
Lake Constance ecosystem,aquatic,1
salt marsh ecosystem,aquatic,7
rocky shore ecosystem,marine,2
Mediterranean rivers,aquatic,2
med-regions ecosystems,aquatic,1
metacommunity of stream fishes,aquatic,1
freshwater environment,aquatic,3
Mediterranean temporary waters,aquatic,1
Murray-Darling Basin lakes ecosystem,aquatic,1
substratum-water interface,aquatic,1
freshwaters,aquatic,11
Cape Floristic Region,terrestrial,5
Baltic Sea ecosystems,marine,1
Lake Malawi ecosystem,aquatic,1
coastal marine systems,marine,1
intertidal areas,aquatic,2
Lake Ecosystem,aquatic,1
Baltic Sea ecosystem,marine,12
French inland freshwater ecosystems,aquatic,1
Freshwater,aquatic,6
large lakes,aquatic,1
reservoir,aquatic,2
subalpine lake ecosystem,aquatic,1
Mediterranean Basin,aquatic,1
freshwater fish fauna,aquatic,1
lake,aquatic,2
coastal and estuarine systems,aquatic,1
Aquatic,aquatic,3
Lake Trasimeno,aquatic,1
mosaic landscape,terrestrial,1
matrix habitat,terrestrial,1
European Atlantic coasts,marine,1
Mediterranean Sea Ecosystem,marine,5
lava tube cave ecosystems,terrestrial,1
terrestrial systems,terrestrial,3
marine near-shore systems,marine,1
coastal lowland areas,terrestrial,1
saline wetlands,aquatic,1
U.S. ecosystems,-,1
Lake St. Clair ecosystem,aquatic,2
Montane grasslands,terrestrial,1
agricultural landscapes in tropical Andes,terrestrial,1
rural-urban matrix,terrestrial,1
coastal dune ecosystem,terrestrial,11
urban woodland,terrestrial,1
urban domestic gardens ecosystem,terrestrial,1
floodplains ecosystem,aquatic,1
agricultural landscape,terrestrial,8
urbanized area,terrestrial,2
temperate natural grasslands,terrestrial,1
multifunctional rural landscapes (MRLs),-,1
natural landscapes,terrestrial,3
anthropogenic landscapes,terrestrial,1
subtropical Andean forests,terrestrial,1
Andean forest region,terrestrial,1
agricultural ecosystems,-,1
eucalypt woodlands,terrestrial,4
invaded sites,-,1
secondary forest,terrestrial,3
well-developed soil ecosystem,terrestrial,1
riparian ecosystems,terrestrial,10
riparian corridors,terrestrial,3
natural ecosystems,aquatic,4
Great Lakes Ecosystem,aquatic,3
European aquatic ecosystems,aquatic,1
xeric riverscapes,aquatic,1
urban forest ecosystem,terrestrial,2
urbanization gradient,terrestrial,1
urban community gardens,terrestrial,1
urban waterways ecosystem,aquatic,1
coastal wetland,aquatic,4
semi-arid rangeland,terrestrial,1
forest edges and old fields,terrestrial,1
mountain grasslands,terrestrial,1
Antarctic terrestrial ecosystem,terrestrial,1
California grasslands,terrestrial,2
montane pampas grasslands,terrestrial,1
sand dune system,terrestrial,1
sagebrush steppe,terrestrial,5
shrub steppe,terrestrial,2
roadside communities,terrestrial,1
cerrado,terrestrial,2
Mediterranean areas,terrestrial,1
Juniperus monosperma woodland,terrestrial,1
fragmented landscape,terrestrial,1
Brazilian savanna,terrestrial,1
low resource ecosystems,-,1
seasonally dry tropical forest,terrestrial,2
coastal heathlands,terrestrial,1
semi-natural grasslands,terrestrial,3
savanna ecosystem,terrestrial,4
tidal estuarine wetlands,aquatic,2
York gum-jam woodlands,terrestrial,1
steppe grasslands,terrestrial,1
Nothofagus pumilio forest,terrestrial,1
steppe,terrestrial,3
Tenerife Ecosystem,terrestrial,1
montane forest,terrestrial,2
Mediterranean ecosystems,terrestrial,8
Pantanal ecosystem,aquatic,1
lacustrine,aquatic,1
saline river,aquatic,1
Tibetan alpine grasslands,terrestrial,1
Patagonia,terrestrial,1
riparian forest,terrestrial,10
cropping systems,terrestrial,1
Mediterranean-climate type ecosystems,terrestrial,1
stored-product environment,terrestrial,1
Karapuzha reservoir ecosystem,aquatic,1
river valley ecosystem,terrestrial,1
native forests,terrestrial,4
traditional agroforestry system,terrestrial,1
sub-Mediterranean,terrestrial,1
temperate,terrestrial,4
In vitro culture system for ragweed,artificial,1
tidal marsh,aquatic,3
Andes Mountain Ecosystem,terrestrial,1
sand dune ecosystem,terrestrial,1
arthropod communities,terrestrial,1
eastern African ecosystems,-,1
tropical dry forests,terrestrial,1
tropical,terrestrial,6
semi-natural ecosystem,terrestrial,2
synanthropic ecosystem,terrestrial,1
natural coastal ecosystem,terrestrial,1
Mediterranean coastal ecosystem,marine,2
Mediterranean Sea Ecosystems (MSE),marine,1
sub-Mediterranean productive grasslands,terrestrial,1
dry Afromontane forest,terrestrial,1
subtropical and temperate ecosystems,terrestrial,1
Potato production regions,terrestrial,1
tropical oceanic island ecosystem,terrestrial,1
brackish wetland,aquatic,2
Atlantic coast tidal wetlands,aquatic,1
marine communities,marine,2
Los Roques archipelago ecosystem,marine,1
maerl beds,marine,1
estuarine environment,aquatic,1
Adriatic Sea,marine,3
shallow-water ecosystem,aquatic,1
south-western Atlantic Ocean,marine,1
European coastlines,marine,1
Aquatic Ecosystem,aquatic,3
temperate zones,terrestrial,1
natural resources,-,1
brackish wetlands,aquatic,1
Mediterranean Saltmarsh,aquatic,1
salt marsh,aquatic,4
Yellow River estuary ecosystem,aquatic,1
Arctic ecosystem,terrestrial,2
Parkinsonia dieback zones,terrestrial,1
local Drosophila-parasitoid community,terrestrial,1
orchard ecosystem,terrestrial,3
Monte Desert biome,terrestrial,1
native forest,terrestrial,5
Galapagos archipelago ecosystem,terrestrial,2
agroforestry system,terrestrial,1
Eucalyptus ecosystem,terrestrial,2
Antarctic ecosystems,-,1
aquatic ecosystem in central China,aquatic,1
Agricultural Ecosystem,terrestrial,2
urban green areas,terrestrial,3
food webs,ecological,1
biosphere,-,1
plant–pollinator systems,terrestrial,1
agrosystems,terrestrial,1
host-associated microbiome networks,terrestrial,1
pine forest,terrestrial,3
laurel forest,terrestrial,1
Island ecosystem,terrestrial,2
area of introduction,aquatic,1
tropical island ecosystem,terrestrial,3
restored area,terrestrial,1
Mediterranean dune system,terrestrial,1
Tierra del Fuego ecosystem,terrestrial,1
Semideciduous Atlantic Forest,terrestrial,1
subtropical mountain forests,terrestrial,1
coastal dune grasslands,terrestrial,1
Mediterranean grasslands,terrestrial,5
mixed deciduous forests,terrestrial,1
grapevine-growing ecosystem,terrestrial,1
temperate forests of southern South America,terrestrial,1
Neotropical region,terrestrial,1
Nearctic region,terrestrial,1
freshwater environments,aquatic,6
Eucalyptus woodlands,terrestrial,1
Banksia woodlands,terrestrial,3
mosaic-type landscape,terrestrial,1
Sahel,terrestrial,1
cultivated cropland,terrestrial,1
lightly grazed prairie,terrestrial,1
switchgrass fields,terrestrial,1
tropical agroecosystems,terrestrial,1
agricultural landscapes,terrestrial,4
Andean cropping systems,terrestrial,1
natural environments surrounding urbanized areas,terrestrial,1
New England hardwood forests,terrestrial,1
watershed,terrestrial,1
coastal dune environment,terrestrial,1
Tropical terrestrial ecosystem,terrestrial,1
desert ecosystems,terrestrial,1
humid tropics,terrestrial,1
forest soil,terrestrial,1
agricultural pastures,terrestrial,1
native remnant woodland fragments,terrestrial,1
Limfjorden Estuarine System,aquatic,1
fresh-water ecosystem,aquatic,1
French river habitats,aquatic,1
Upper Paraná river ecosystem,aquatic,1
Tropical Atlantic bioregion,marine,1
North Atlantic Ocean,marine,1
peatland,terrestrial,2
rocky shore,marine,4
Cool Temperate Waters,marine,1
coastal,marine,6
coastal marsh,aquatic,2
paddy fields,terrestrial,1
coastal systems,aquatic,2
hypersaline aquatic ecosystems,aquatic,1
trace metal-contaminated ecosystems,aquatic,1
hypersaline ecosystems,aquatic,2
Indo-Pacific islands forest ecosystem,terrestrial,1
grazed ecosystems,terrestrial,1
intertidal ecosystem,aquatic,4
riparian habitat,terrestrial,1
Monte Desert,terrestrial,2
lowland ecosystem,terrestrial,2
soil seed bank ecosystem,terrestrial,1
natural communities,terrestrial,1
forested landscape,terrestrial,1
apiary ecosystem,terrestrial,2
sub-alpine desert,terrestrial,1
Galápagos Archipelago ecosystem,terrestrial,1
buloke woodland,terrestrial,1
Hawaii,terrestrial,1
prairie plant community,terrestrial,1
pond ecosystem,aquatic,6
wetland ecosystem,terrestrial,3
herbaceous semi-natural,terrestrial,1
oceanic island ecosystem,terrestrial,3
biodiversity,global,2
prairie ecosystem,terrestrial,3
Banksia woodland,terrestrial,1
stream system,aquatic,1
ecosystems with exotic plants,-,1
conservation habitats,-,1
northern ecosystems,terrestrial,1
Andean ecosystem,terrestrial,1
Swiss botanical garden ecosystem,terrestrial,1
urban landscapes,terrestrial,2
biomes,-,2
urban waterways,aquatic,1
island biodiversity,terrestrial,2
freshwater billabongs,aquatic,1
Antarctic ecosystems,terrestrial/marine,1
river valley ecosystem,aquatic/terrestrial,1
highly modified environments,terrestrial,1
riverine ecosystems,aquatic,4
Calluna vulgaris heathlands,terrestrial,1
subarctic and arctic ecosystems,terrestrial,1
Shola Sky Islands ecosystem,terrestrial,1
highly modified landscapes,terrestrial,1
fragmented landscapes,terrestrial,1
Kudzu ecosystem,terrestrial,1
Douglas-fir seed orchards and stands ecosystem,terrestrial,1
grazing areas,terrestrial,1
suburban ecosystem,terrestrial,2
afforested ecosystem,terrestrial,1
aquatic and terrestrial ecosystems,aquatic/terrestrial,1
native and introduced ranges,terrestrial,1
tomato-potato agroecosystem,terrestrial,1
rainforest ecosystems,terrestrial,1
plant rhizosphere,terrestrial,1
fig tree reproduction ecosystem,terrestrial,1
Australian ecosystem,terrestrial,9
slow-flowing rivers,aquatic,1
irrigation channels,aquatic,1
margins of lakes and reservoirs,aquatic,1
Agricultural and Environmental Ecosystem,terrestrial,1
eucalyptus ecosystems,terrestrial,1
National Park of Réunion Island,terrestrial,1
agricultural systems,terrestrial,4
South Africa's ecosystems,terrestrial,1
earthworm-free ecosystems,-,1
tropical climates,terrestrial,1
Teff fields,terrestrial,1
Alpine,terrestrial,1
rangeland ecosystems,terrestrial,2
Martinican rivers,aquatic,1
coral reefs,marine,7
Northern Guinean savannah,terrestrial,1
commercial citrus groves,terrestrial,1
agricultural setting,terrestrial,1
Italian Mediterranean dune systems,terrestrial,1
Mediterranean biodiversity hotspots,terrestrial,1
microbial ecosystem,aquatic,1
marine coastal ecosystems,marine,2
Caribbean coral reefs,marine,3
Mediterranean ecosystems,marine,1
river catchments,aquatic,3
canyon ecosystem,marine,1
Southern Ocean Ecosystem,marine,1
complex fluvial ecosystems,aquatic,1
mountain environments,terrestrial,1
agro-pastoral system,terrestrial,1
socio-ecological system of biological invasion,-,1
terrestrial ecosystems in Galicia,terrestrial,1
offshore ecosystems,marine,1
artisanal fishery,aquatic,1
industrial remediation area,terrestrial,1
agro-forest ecosystem,terrestrial,1
urban green ecosystem,terrestrial,1
urban ponds,aquatic,1
calcareous grasslands,terrestrial,1
plant communities,terrestrial,6
forests on steep slopes,terrestrial,1
mangrove,aquatic,2
coastal,aquatic,2
Everglades ecosystem,terrestrial,1
Lake Sentiz Ecosystem,aquatic,1
Lake Chozas Ecosystem,aquatic,1
Yungas biome,terrestrial,1
Tropical rainforest,terrestrial,1
cultural ecosystem services,terrestrial,1
Italian terrestrial ecosystems,terrestrial,1
Mediterranean dune ecosystem,terrestrial,2
UK woodland ecosystem,terrestrial,1
urban landscape ecosystem,terrestrial,1
rock pool communities,aquatic,1
coastal dune systems,terrestrial,2
alpine spring ecosystems,aquatic,1
Swiss flora,terrestrial,1
Central European uplands,terrestrial,1
riparian ecological infrastructure,terrestrial,1
Mojave Desert,terrestrial,1
drylands,terrestrial,2
blue carbon ecosystems,marine,2
heterogeneous insular environments,-,1
Black Sea ecosystem,marine,2
suburban areas,terrestrial,1
food web ecosystem,aquatic,1
managed ecosystem compartment,agricultural,1
natural compartment,terrestrial,1
Lake Chozas ecosystem,aquatic,1
Atlantic Moist Forest,terrestrial,1
alpine lake ecosystems,aquatic,1
coastal and riparian systems,aquatic,1
Cabriel River ecosystem,aquatic,1
production forests,terrestrial,1
benthic communities,marine,2
Mediterranean basin,marine,5
metacommunity,terrestrial,1
mountainous landscapes,terrestrial,1
social-ecological systems,-,1
Ecosystem services of Europe,terrestrial,1
salt marsh,terrestrial,4
soft sediment ecosystem,marine,1
Eastern Mediterranean,marine,2
lagoon ecosystem,aquatic,5
mangrove ecosystem,aquatic,2
north-western Adriatic Sea,marine,1
Mediterranean coastal ecosystems,marine,1
hypersaline environments,aquatic,1
marine coastal waters,marine,1
intertidal marsh,aquatic,1
North Atlantic ecosystem,marine,1
estuary ecosystem,aquatic,2
saltmarshes,marine,1
intertidal ecosystems,aquatic,1
marine and brackish environments,aquatic,1
NW European fjords,aquatic,1
Barents Sea Province,marine,1
Norwegian Coast Province,marine,1
Mediterranean seagrass meadows,marine,1
lagoon ecosystems,aquatic,1
European coasts,marine,1
Baltic Sea environment,marine,1
mudflat ecosystem,aquatic,2
coastal lagoon ecosystem,aquatic,6
Adriatic ecosystem,marine,1
shallow freshwater ecosystems,aquatic,1
Mediterranean sea ecosystem,marine,2
degraded tropical soil,terrestrial,1
Patagonian rivers,aquatic,1
temperate ecosystems,aquatic,1
Polluted river system,aquatic,1
Mediterranean landscapes,terrestrial,1
Antarctic terrestrial environment,terrestrial,1
Aquatic Environments,aquatic,1
coastal lagoon ecosystems,aquatic,1
estuarine,aquatic/marine,1
invasion range of Lonicera maackii,-,1
grassland-based agro-ecosystem,terrestrial,1
estuarine area,aquatic,1
dry tropics,terrestrial,1
natural secondary forests,terrestrial,1
Shorea robusta forest,terrestrial,1
Tasmanian ecosystem,terrestrial,3
Eucalyptus forest,terrestrial,1
temperate and subtropical ecosystems,terrestrial,1
eastern white pine forest,terrestrial,1
shrublands,terrestrial,3
Wildland Urban Interface (WUI),terrestrial,1
Bangladesh forest ecosystem,terrestrial,1
floodplain forest,terrestrial,2
European chestnut coppices,terrestrial,1
Monsoon Vine Thicket,terrestrial,1
Pindan woodland,terrestrial,1
boreal ecosystem,terrestrial,1
tropical and subtropical ecosystem,terrestrial,2
Pinus radiata plantations,terrestrial,1
ancient woodlands,terrestrial,1
prairies,terrestrial,2
temperate Eucalyptus bushland,terrestrial,1
broadleaf woodland,terrestrial,1
selected landscapes,terrestrial,1
North American temperate forests,terrestrial,1
protected forests,terrestrial,1
forest ecosystems in Italy,terrestrial,1
inland waters,aquatic,10
Mediterranean maquis,terrestrial,1
global ecosystem,terrestrial,9
Native forests,terrestrial,1
Non-native forests,terrestrial,1
forestry,terrestrial,1
monkey puzzle forest,terrestrial,1
Australian environment,-,1
European Natura 2000 network,terrestrial,1
local ecosystem of St. Eustatius,-,1
fire-prone ecosystems,terrestrial,2
tropical natural forest,terrestrial,1
sagebrush ecosystems,terrestrial,2
agroecosystem in oil palm plantations,terrestrial,1
Appalachian hardwood forest,terrestrial,1
cropping systems in Africa,terrestrial,1
urban wetlands,aquatic,1
Rocky Mountain ecosystem,terrestrial,1
riparian systems,terrestrial,2
unspecified (general ecosystem change),-,1
Terrestrial Ecosystem,terrestrial,2
savannah ecosystems,terrestrial,1
Atlantic marine areas,marine,1
Pacific marine areas,marine,1
Australian terrestrial ecosystem,terrestrial,2
Phongolo River floodplain ecosystem,aquatic,1
Mexican freshwater,aquatic,1
multiple ecosystems,-,2
riparian zones,interface between terrestrial and aquatic,1
global,terrestrial,3
arid and semi-arid ecosystems,terrestrial,3
heathland ecosystem,terrestrial,1
monsoonal wetland,aquatic,1
urban forests of Aizawl,terrestrial,1
Reservoir ecosystems,aquatic,1
Dwelling District,terrestrial,1
coastal areas,aquatic,2
forest areas,terrestrial,1
coastal scrub,terrestrial,1
Arid Australian Environment,terrestrial,1
Chaco dry forests,terrestrial,1
West African savannas,terrestrial,1
sudanian savannas,terrestrial,1
arid environments,terrestrial,1
riverine forest,terrestrial,1
shrub-steppe,terrestrial,1
semi-arid environment,terrestrial,1
protected area ecosystem,terrestrial,1
Remote Oceania,terrestrial,1
human respiratory system,terrestrial,1
sea loch ecosystems,marine,1
near-shore coastal ecosystems,aquatic,1
intertidal zone,marine,7
soft sediment communities,marine,1
mangrove forests,terrestrial,1
fouling communities,marine,1
degraded ecosystems,terrestrial,2
reservoir network,aquatic,1
soc-ecological systems,-,1
Social-ecological systems,-,1
montane grasslands,terrestrial,1
Neo-Australian forests,terrestrial,1
natural and grazing ecosystems,terrestrial,1
Natura 2000 Habitats,-,1
coastal wetland ecosystem,aquatic,2
ecosystem_name,-,2
secondary forests,terrestrial,3
community forests,terrestrial,1
old-growth forests,terrestrial,1
invaded ecosystem,-,2
coastal Great Lakes ecosystems,aquatic,1
Laurentian Great Lakes Ecosystem,aquatic,1
pelagic system,aquatic,1
benthic system,aquatic,1
Lake Ontario ecosystem,aquatic,2
Great Lakes ecosystems,aquatic,1
Lake Michigan ecosystem,aquatic,1
Northern Great Lakes,aquatic,1
Laurentian Great Lakes,aquatic,4
sub-Antarctic terrestrial ecosystem,terrestrial,1
Eucalyptus plantation,terrestrial,2
waterway ecosystem,aquatic,1
Mont Saint Michel Bay ecosystem,marine,1
northeastern Pacific Ocean,marine,1
Israeli marine continental shelf ecosystem,marine,1
Mediterranean marine ecosystems,marine,1
Northeastern Mediterranean food web,marine,1
rural ecosystem,terrestrial,1
marine inshore communities,marine,1
La Palma Island Biosphere Reserve,terrestrial,1
wet native forests,terrestrial,1
Natura 2000 sites,terrestrial,2
small pond ecosystems,aquatic,1
habitat of Callosciurus erythraeus,terrestrial,1
protected areas,-,1
trophic-level structured food-web,terrestrial,1
plant trade network,terrestrial,1
thermal reservoir ecosystem,aquatic,1
Aegean Sea,aquatic,1
urban landscape,terrestrial,3
urban park ecosystem,terrestrial,1
plantation,terrestrial,2
urban forests,terrestrial,3
rural-amenity landscapes,terrestrial,1
transformed ecosystems,terrestrial,1
"novel, invaded ecosystems",-,1
Sahel ecosystem,terrestrial,1
macrophyte-dominated aquatic ecosystem,aquatic,1
Tropical high Andes lakes,aquatic,1
boreal lagoon ecosystem,aquatic,2
Mediterranean basins,aquatic,1
shallow pools,aquatic,1
hydrosystems,aquatic,1
fluvial system,aquatic,1
Patagonian streams,aquatic,1
Freshwater ecosystem,aquatic,14
neotropical river,aquatic,1
riverine,aquatic,5
temperate marine ecosystem,marine,1
ballast water ecosystem,aquatic,1
benthic,marine,1
rocky ecosystems,marine,1
NE Atlantic Ocean,marine,1
estuary,aquatic,4
intertidal zone,aquatic,2
subtidal zone,aquatic,1
benthic system,marine,1
Lim Bay ecosystem,aquatic,1
recipient ecosystems,marine,1
coastal systems,marine,1
Belize Barrier Reef Reserve System,marine,1
NW Mediterranean Sea,marine,1
coastal zone,marine,1
Berre Lagoon Ecosystem,aquatic,1
Temperate Asian coasts,marine,1
intertidal,marine,2
southern European coastal ecosystems,marine,1
marine artificial lake ecosystem,aquatic,1
sublittoral communities,aquatic,1
maritime ecosystem,marine,1
Mediterranean Lagoon Ecosystem,aquatic,1
transitional waters,aquatic,2
coastal environment,terrestrial,2
unknown,-,4
global ecosystems,terrestrial,2
coastal waters of the Baltic Sea,aquatic,1
Northern Baltic ecosystems,aquatic,1
benthic habitats,aquatic,1
Baltic Sea and its tributaries,aquatic,1
Baltic Sea basin,aquatic,1
Atlantic ecosystem,aquatic,1
saltmarsh ecosystems,aquatic,1
Macroalgal assemblages,marine,1
sediment shores and mudﬂats,aquatic,1
insular shelf ecosystem,marine,1
coastal ecosystems,aquatic,7
infralittoral off-shore reef,marine,1
wet montane forest,terrestrial,1
lacustrine ecosystem of Lake Azul,aquatic,1
acoustic niche,-,1
Cape Flats Sand Fynbos,terrestrial,1
temperate-boreal forest ecotone,terrestrial,1
Antarctic marine environment,marine,1
Terrestrial ecology of Antarctica,terrestrial,1
burnt landscapes ecosystem,terrestrial,1
altitudinal gradient,terrestrial,1
novel ecosystems,-,2
floristic diversity,terrestrial,1
ecological communities,terrestrial,1
regional scale landscape,terrestrial,1
halophyte community,terrestrial,1
riparian wetland,aquatic,1
Arkansas River,aquatic,1
ecosystems post-LGM,terrestrial,1
early Holocene ecosystems,terrestrial,1
range ecosystem,terrestrial,1
sagebrush plant communities,terrestrial,1
annual grassland,terrestrial,2
rangeland,terrestrial,6
buffelgrass savanna,terrestrial,1
grassland communities,terrestrial,4
Fescue Prairie,terrestrial,1
Rough fescue prairie,terrestrial,1
shortgrass steppe,terrestrial,2
lentic ecosystems,aquatic,3
apiaries,terrestrial,1
Iberian Peninsula ecosystems,-,1
heterogeneous environments,-,1
soybean production systems,terrestrial,1
Gulf of Mexico ecosystem,marine,1
tropical forest ecosystem,terrestrial,6
Eastern Arc Mountains Biodiversity Hotspot,terrestrial,1
fresh water ecosystems,aquatic,1
wildlife ecosystems,terrestrial,1
arid Karoo,terrestrial,1
fynbos biome,terrestrial,3
temperate to subtropical riparian ecosystem,terrestrial,2
riparian,aquatic,2
Afromontane forest,terrestrial,1
fynbos ecosystem,terrestrial,2
riparian ecosystem,aquatic/terrestrial,2
fynbos,terrestrial,5
Sneeuberg ecosystem,terrestrial,1
Grassland biome,terrestrial,2
Savannah biome,terrestrial,1
warm-temperate regions,terrestrial,1
coastal lowlands of the south-western Cape,terrestrial,1
Major biomes of South Africa,-,1
Karoo,terrestrial,1
Fynbos,terrestrial,1
Savanna,terrestrial,2
grassland biome of South Africa,terrestrial,1
Peninsula Shale Renosterveld,terrestrial,1
biomes in South Africa,terrestrial,1
natural and semi-natural ecosystems,terrestrial,1
hyperarid ecosystems,terrestrial,1
oak-dominated forest,terrestrial,1
target environment,-,1
Caatinga vegetation,terrestrial,1
terrestrial and aquatic ecosystem interface,terrestrial/aquatic,1
Floodplain,terrestrial,1
Riverine ecosystem,aquatic,1
Mediterranean climate areas,aquatic,1
Bee ecosystem,terrestrial,1
terrestrial ecosystem along a latitudinal gradient,terrestrial,1
river ecosystems,aquatic,3
dry grasslands,terrestrial,1
high-shore,marine,1
Afar Region ecosystem,terrestrial,1
Floodplain ecosystem,terrestrial,1
Mediterranean aquatic ecosystem,aquatic,1
river,aquatic,1
Polar marine ecosystem,marine,2
recipient ecosystems,aquatic,1
Global ecosystem,terrestrial/aquatic,1
recipient ecosystem,-,2
seagrass ecosystems,marine,1
lake food web,aquatic,3
NW European estuarine ecosystems,marine,1
brackish and freshwater ecosystems,aquatic,1
Wadden Sea ecosystem,aquatic,2
intertidal salt marshes,marine,1
brackish water ecosystem,aquatic,2
Caribbean seagrass meadows,aquatic,1
sedimentary coastal ecosystem,marine,1
Benthic,aquatic,1
tropical and subtropical regions,terrestrial,1
Moorland,terrestrial,1
Woodland,terrestrial,1
tropical lands,terrestrial,1
Mediterranean agricultural ecosystem,terrestrial,2
Plantation Ecosystem,terrestrial,1
Antarctic soil system,terrestrial,1
forested ecosystems,terrestrial,4
Antarctica,terrestrial,1
coastal waters,aquatic,4
Steppe-like,terrestrial,1
Synanthropic,terrestrial,1
changing communities,-,1
top-down regulated ecosystems,-,1
general ecosystem,-,1
Antarctic ecosystem,terrestrial/marine,1
suburban forests,terrestrial,1
urban-rural gradient,terrestrial,1
tropical habitats,terrestrial,1
biofilms,aquatic,1
Wetlands,aquatic,1
Australian ecosystems,-,2
Deepwater marine ecosystem,marine,1
riparian zone,aquatic,1
ecosystem in human-dominated landscapes,terrestrial,1
"cropping, forage, and rangeland systems",terrestrial,1
mountainous landscape,terrestrial,1
Black Sea,marine,4
Levantine marine ecosystem,marine,1
Taveuni ecosystem,terrestrial,1
Atlantic colony,marine,1
invaded ecosystems,aquatic,5
Macquarie Island ecosystem,terrestrial,2
wet pine-flatwoods,terrestrial,1
island ecosystems,-,2
low-altitude forests of Hawai'i,terrestrial,1
rainfed systems,terrestrial,1
maritime pine forests,terrestrial,1
microbial community,-,1
assembled bacterial communities ecosystem,microbial,1
global grasslands,terrestrial,1
novel ecosystem,-,1
soil microbial community,terrestrial,1
flora,terrestrial,1
fragmented ecosystem,marine,1
ecosystem function,terrestrial,1
pelagic,marine,1
marine biofouling communities,marine,1
wetland ecosystems,-,1
forested Australian landscapes,terrestrial,1
local ecosystem in Po plain,terrestrial,1
African rodent community,terrestrial,1
novel forest ecosystem,terrestrial,1
Benguela ecosystem,marine,1
semi-arid areas,terrestrial,1
mesic areas,terrestrial,1
Red Sea ecosystem,marine,1
campo rupestre biome,terrestrial,1
Marine,marine,9
tropical environment,terrestrial,2
temperate environment,terrestrial,1
freshwater and estuarine,aquatic,1
broadleaved forest,terrestrial,1
conservation areas,terrestrial,1
mangrove habitat,terrestrial,1
salt marsh ecosystem,terrestrial,1
subtidal aquatic environments,aquatic,1
Southern Ocean,marine,4
Antarctic shallow coastal marine communities,marine,1
Subtropical ecosystem,terrestrial,2
realized climatic niches,terrestrial,1
protected lake,aquatic,1
rainforest ecosystem,terrestrial,3
complex landscapes,terrestrial,1
African savannas,terrestrial,1
Holarctic,terrestrial,1
biodiversity,-,5
arthropod ecosystem,terrestrial,1
glasshouse ecosystem,terrestrial,2
native ecosystems in northern North America,-,1
field setting,terrestrial,1
temperate reef,marine,1
tropical aquatic systems,aquatic,1
coastal marine,marine,1
Mediterranean Sea ecosystems,marine,1
marine macroalgal forests,marine,1
upland ecosystem,terrestrial,1
exotic ecosystems,-,1
natural and agro-ecosystems,terrestrial,1
subalpine forest,terrestrial,1
roadside plant communities,terrestrial,1
aquatic microcosms,aquatic,1
marine system,marine,6
Tasmanian native vegetation,terrestrial,1
temperate perennial grassland,terrestrial,2
chenopod shrubland,terrestrial,1
bog vegetation,terrestrial,1
fragmented systems,terrestrial,1
semitiarid grassland,terrestrial,1
shrubland,terrestrial,4
woodland communities,terrestrial,1
scallop fishery,aquatic,1
benthic community,marine,1
subtidal ecosystem,aquatic,1
intertidal habitats in Europe,aquatic,1
tropical rivers,aquatic,1
native vegetation,terrestrial,1
entomofauna formation,terrestrial,1
anthropogenic habitats,terrestrial,1
pasture ecosystems of the Central Caucasus,terrestrial,1
natural ecosystems of Khakassia,terrestrial,1
agrocenoses,terrestrial,1
meadows,terrestrial,1
freshwater communities,aquatic,3
protected sites,terrestrial,1
fruit orchards,terrestrial,1
mango orchards,terrestrial,1
Sahelian zone,terrestrial,1
palm ecosystem,terrestrial,1
Humid Forest,terrestrial,1
Guinean savanna,terrestrial,1
Southern Sudan,terrestrial,1
Northern Sudan,terrestrial,1
Sahelian,terrestrial,1
laboratory,-,1
Lowland aquatic system,aquatic,1
Austrian freshwater ecosystems,aquatic,1
Aquatic ecosystems,aquatic,2
rivers and tributaries,aquatic,1
inland aquatic ecosystem,aquatic,2
coastal river ecosystem,aquatic,1
Vistula River Ecosystem,aquatic,1
American range,aquatic,1
Douro River system,aquatic,1
stream food webs,aquatic,1
aquatic ecosystems in Britain,aquatic,1
novel environment,aquatic,1
artificial dam lakes,aquatic,1
European inland waters,aquatic,1
Lake Trasimeno ecosystem,aquatic,1
littoral zone ecosystem,aquatic,2
Patagonia aquatic ecosystem,aquatic,1
coastal brackish waters,aquatic,1
European water systems,aquatic,1
Lake Qarun ecosystem,aquatic,2
natural lakes,aquatic,1
fishpond ecosystem,aquatic,1
chalk stream,aquatic,1
