Habitat Name,Type,Ecosystem Type,Count
tree cavities,terrestrial,forest ecosystem,1
maritime forest community,terrestrial,coastal forest ecosystems,1
habitats with sparse vegetation,terrestrial,Mediterranean habitats,1
suburban environments,terrestrial,-,1
formerly treeless vegetation,terrestrial,-,1
plantations,terrestrial,landscape,1
urban and near-urban,terrestrial,communities and ecosystems,1
biotic communities,terrestrial,introduced ecosystem,1
abiotic conditions,terrestrial,introduced ecosystem,1
belowground,terrestrial,ecosystem-transforming,1
restored grassland,terrestrial,grassland,1
urban land cover,terrestrial,-,1
ruderal,-,-,1
greenhouse,terrestrial,terrestrial plant communities,1
burned plots,terrestrial,tussock grassland ecosystem,1
unburned plots,terrestrial,tussock grassland ecosystem,1
habitat suitable for warren-building,-,-,1
habitat based on food and harbour requirements,-,-,1
greenhouse,-,-,2
habitats in the invaded range,-,-,1
conserved patches of native vegetation,terrestrial,agricultural mosaic,1
urban landscapes,terrestrial,agricultural mosaic,1
dry eucalypt forest,terrestrial,dry eucalypt forest,1
P. oceanica meadow,marine,seagrass meadows,1
shrub-steppe,terrestrial,shrub-steppe ecosystem,1
rockpools,aquatic,rockpool ecosystem,1
mesic forest understory,terrestrial,forest understory,1
moist grasslands,terrestrial,grasslands,1
streams,aquatic,headwater streams,1
riparian vegetation,terrestrial,headwater streams,1
open Cerrado physiognomy,terrestrial,Cerrado,1
pasture,terrestrial,tropical ecosystem,1
outdoor pot environment,terrestrial,soil,1
germination chamber environment,terrestrial,-,1
chickpea growing regions,terrestrial,chickpea farming ecosystem,1
artificial dam,aquatic,freshwater ecosystems,1
hemlock stands,terrestrial,New England hemlock forests,1
marine,marine,European waters,1
natural habitats,terrestrial,-,5
beef cattle production areas,terrestrial,agro-ecological landscapes,1
understory vegetation,terrestrial,forest ecosystem,2
canopy,terrestrial,forest ecosystem,2
high mountain lakes,aquatic,high mountain lakes,2
riparian habitats,aquatic,riparian plant communities,1
-,-,ecosystem_name,1
trees,terrestrial,forest ecosystems,1
-,marine,marine ecosystem,5
grasslands,terrestrial,Mediterranean-climate regions,1
rivers and canals,aquatic,European freshwater ecosystems,1
burrow nest-sites,terrestrial,island ecosystems,1
marine coastal lagoon,marine,aquatic ecosystem,1
wetlands,aquatic,terrestrial ecoregions,1
forest,terrestrial,terrestrial ecoregions,1
shrublands,terrestrial,terrestrial ecoregions,1
harbors and marinas,marine,marine environments,1
forest edge,terrestrial,-,2
forest interior,terrestrial,-,1
semi-open vegetation,terrestrial,seasonal deciduous forest,1
forest soil,terrestrial,temperate forest ecosystem,1
-,aquatic,aquatic systems,1
upland ecotone,terrestrial,cypress domes,1
urban habitats,terrestrial,forest ecosystems,1
-,-,dioecious environmental weed ecosystem,1
Eastern Mediterranean marine habitats,marine,Eastern Mediterranean marine ecosystem,1
agricultural areas,terrestrial,-,3
Atlantic coasts,marine,Atlantic coastal ecosystem,1
arboreal,terrestrial,terrestrial ecosystem,1
south-eastern coastal areas of North Sea,marine,North Sea ecosystem,1
wild ecosystems,-,-,1
habitat occupied by Caulerpa species,marine,Mediterranean Sea,1
indigenous forests,terrestrial,ecosystem_name,1
alienated land,terrestrial,ecosystem_name,1
potted plants,terrestrial,European ecosystem,1
containers or packaging material,terrestrial,European ecosystem,1
fruit shipments,terrestrial,European ecosystem,1
island,terrestrial,insular ecosystem,1
coastal,terrestrial,-,1
riparian,aquatic,-,2
river,aquatic,Atlantic Ocean river basin,1
river channel,aquatic,river ecosystem,1
floodplain lakes,aquatic,floodplain lake ecosystem,1
tourist landing sites,terrestrial,Arctic,1
artificial waterways,aquatic,artificial waterways,1
General terrestrial habitat,terrestrial,Cool temperate ecosystem,1
"sites for introduction, establishment, and persistence",terrestrial,Australia,1
yellow dunes,terrestrial,dune ecosystem,1
Rosa rugosa patches,terrestrial,dune ecosystem,1
Salt Marsh,marine,Coastal Ecosystem,1
coastal sites,terrestrial,sub-Antarctic ecosystem,1
higher elevations,terrestrial,sub-Antarctic ecosystem,1
Phragmites australis patches,aquatic,wetland,1
road verges,terrestrial,montane ecosystem,1
post-agricultural grassland,terrestrial,tallgrass prairie,1
forests,terrestrial,upland forests,1
agriculture,-,-,1
forests,terrestrial,-,7
salt marsh,aquatic,salt marshes,2
rainforest,terrestrial,native forests in Australia,1
semi-natural habitats,terrestrial,forest ecosystem,1
wild,terrestrial,-,3
quarantine,terrestrial,biological control program,1
coastal waters,marine,marine,4
rocky reef habitat,marine,kelp forests,1
ornithocorous plant habitat,terrestrial,mountain Chaco woodland,1
riparian habitat,terrestrial,riparian,1
inland lakes,aquatic,inland-lake complex,1
river,aquatic,river ecosystem,7
degraded habitat,aquatic,freshwater ecosystem,1
plantation forests,terrestrial,pine forests,1
urban trees,terrestrial,pine forests,1
Eichhornia crassipes pleuston,aquatic,pleuston,1
bivalve cultures,aquatic,marine ecosystem,1
embayments,aquatic,marine ecosystem,1
natural habitats,aquatic,marine ecosystem,1
Rocky Intertidal Habitats,marine,Rocky Intertidal Ecosystem,1
rivers,aquatic,freshwater ecosystem,5
nesting chambers,terrestrial,Santa Catarina state ecosystem,1
recipient habitat,-,recipient ecosystems,1
many habitats,-,-,1
Eucalypt plantations,terrestrial,Eucalypt forests,1
fragmented habitat,terrestrial,forest ecosystem,1
marsh,aquatic,wetland systems,1
lakes,aquatic,aquatic ecosystems,1
water bodies,aquatic,aquatic ecosystems,2
soil seedbank,terrestrial,forest ecosystem,1
urban household gardens,terrestrial,urban ecosystems,1
early-stage olive habitat,terrestrial,woodland ecosystem,1
mature olive habitat,terrestrial,woodland ecosystem,1
native grassy woodland habitat,terrestrial,woodland ecosystem,1
floodplain,terrestrial,riparian neoecosystem,1
invaded sites,terrestrial,-,2
flooded and unflooded wetland units,aquatic,wetland,1
coastlines,terrestrial,Mediterranean coastline ecosystems,1
grassland habitats,terrestrial,grassland ecosystem,1
urban habitat,terrestrial,urban environment,1
natural habitat,terrestrial,natural,1
ruderal habitat,terrestrial,ruderal,1
low altitude coastal sites,terrestrial,-,1
aquatic environments,aquatic,aquatic environments,1
native forests,terrestrial,-,1
artificial potting substrates,terrestrial,-,1
natural soils,terrestrial,-,1
canopy,terrestrial,forest,1
coastal areas,marine,Baltic Sea,1
river catchments,aquatic,ecosystem_name,1
grassland,terrestrial,tropical savannah,1
nesting microhabitats,terrestrial,-,1
wetland,aquatic,coastal wetlands,1
grassland community,terrestrial,grassland,1
natural habitats of E. orbicularis,terrestrial,natural habitats,1
ground rooting area,terrestrial,conservation area ecosystem,1
riverine habitats,aquatic,riverine ecosystem,1
ponds,aquatic,freshwater ecosystems,1
dune grassland,terrestrial,-,1
rainforest,terrestrial,rainforest,2
bivalve habitat,marine,marine ecosystem,1
islands,terrestrial,insular ecosystems,1
rocky and cobble intertidal habitat,marine,New England coastal habitats,1
sand habitat,marine,New England coastal habitats,1
streams and lakes,aquatic,freshwater ecosystem,1
man-made reservoirs,aquatic,freshwater ecosystem,1
eight plant communities,terrestrial,Mediterranean-type ecosystems,1
sweet chestnut forests,terrestrial,temperate and Mediterranean ecosystems,1
annual forb-dominated open woodland communities,terrestrial,semi-arid ecosystems,1
Mediterranean coastal habitats,terrestrial,Mediterranean coastal ecosystem,1
tundra,terrestrial,tundra,1
boreal forest,terrestrial,boreal forest,1
uplands,terrestrial,uplands,1
adjacent to cities,terrestrial,-,1
-,terrestrial,terrestrial,3
Atlantic coral reefs,marine,Atlantic coral reefs,1
forest,terrestrial,A. araucaria forest,1
treeless/steppe,terrestrial,Patagonian steppe,1
shallow reefs,aquatic,mesophotic coral ecosystems (MCEs),1
reefs >100 m,aquatic,mesophotic coral ecosystems (MCEs),1
tree habitat,terrestrial,forestry ecosystem,1
-,aquatic,Great Lakes,1
-,-,broader ecological community,1
cloud-forest,terrestrial,cloud-forest,1
drier altiplano habitats,terrestrial,-,1
pastures,terrestrial,pastoral land,1
Olive orchards,terrestrial,Mediterranean ecosystem,1
syntopic area,terrestrial,-,1
red-only area,terrestrial,-,1
reef communities,marine,reef ecosystem,1
agricultural and natural areas,terrestrial,agroecosystems,1
wader nesting habitat,terrestrial,island ecosystem,1
aquatic habitats,aquatic,inland aquatic ecosystems,1
zooplankton communities,aquatic,lake ecosystem,1
burned environment,terrestrial,-,1
unburned environment,terrestrial,-,1
marinas and harbours,marine,European marine ecosystem,1
commercial and recreational vessel areas,marine,European marine ecosystem,1
aquaculture equipment areas,marine,European marine ecosystem,1
wave and tidal energy device areas,marine,European marine ecosystem,1
natural environment (rocks and boulders),marine,European marine ecosystem,1
subtidal soft-bottom assemblages,marine,marine ecosystems,1
canopy stands,marine,Mediterranean macroalgal stands,1
forest,terrestrial,temperate forest,3
shrubland,terrestrial,temperate forest,2
early post-fire area,terrestrial,temperate forest,1
wetlands,aquatic,-,5
naturally regenerating forests,terrestrial,forest ecosystems,1
planted forests,terrestrial,forest ecosystems,1
terrestrial soil,terrestrial,interface between aquatic and terrestrial ecosystems,1
woodlands,terrestrial,forests and woodlands,1
built environment,terrestrial,-,1
domestic gardens,terrestrial,-,2
prairie fragment,terrestrial,Northern Tallgrass Prairie fragment,1
reef,marine,reef ecosystem,1
plant communities,terrestrial,invaded plant communities,1
forest floor,terrestrial,forest,1
riparian habitat,terrestrial,riparian ecosystem,1
coastal areas,marine,marine ecosystems,1
water bodies,aquatic,-,6
secondary forest,terrestrial,Yungas forest ecosystem,1
crop-fields,terrestrial,-,1
hydroponics facility,terrestrial,Antarctic ecosystem,1
grey dunes,terrestrial,dune ecosystem,1
Ponto-Caspian water bodies,aquatic,freshwater ecosystem,1
forest,terrestrial,forest,8
Summit scrub,terrestrial,Alpine ecosystem,1
public gardens,terrestrial,-,1
private gardens,terrestrial,-,1
botanical gardens,terrestrial,urban landscape,1
arboreta,terrestrial,urban landscape,1
highly transformed and disturbed environments,terrestrial,urban environment,1
cities,terrestrial,urban environment,1
urban areas,terrestrial,natural areas,1
agricultural areas,terrestrial,natural areas,1
macro-fouling habitat,aquatic,marine ecosystem,1
marina,aquatic,marine,2
rocky reef,marine,marine,1
shrubland,terrestrial,tropical ecosystems,1
forest,terrestrial,tropical ecosystems,1
preforest,terrestrial,tropical ecosystems,1
favourable habitats,-,-,1
aquaria,aquatic,marine ecosystem,2
riparian zones,aquatic,riparian ecosystems,1
Reef habitat,marine,marine food web,1
suitable habitat,-,-,2
sediment cores,marine,marine ecosystem,1
chestnut-oak mixture,terrestrial,forest ecosystem,1
chestnut-ash mixture,terrestrial,forest ecosystem,1
pure chestnut stands,terrestrial,forest ecosystem,1
arable fields,terrestrial,terrestrial ecosystem,1
along infrastructure,terrestrial,terrestrial ecosystem,1
arctic birch forests,terrestrial,arctic ecosystem,1
littoral,aquatic,lake ecosystem,2
sandy ecosystem,terrestrial,sandy savanna,1
estuarine,aquatic,estuarine ecosystems,1
Antarctic soil,terrestrial,Antarctic ecosystems,1
coastal saltmarshes,terrestrial,saltmarshes,1
dwarf palm populations,terrestrial,Mediterranean ecosystem,1
-,-,Marine Ecosystem,1
dry season refuge,terrestrial,terrestrial ecosystem,1
sediments,aquatic,-,1
aquatic habitat,aquatic,aquaculture ecosystem,1
reefs,marine,marine ecosystem,4
forest canopy,terrestrial,forest ecosystem,1
rubbish dumps,terrestrial,-,1
landfills,terrestrial,-,1
managed landscapes,terrestrial,managed landscapes,1
Grasslands/Savannah,terrestrial,Terrestrial ecosystem,1
Rivers,aquatic,Freshwater Ecosystem,1
epiphytic,marine,seaweed forest,1
nature reserves,terrestrial,-,2
headwater streams,aquatic,freshwater ecosystem,1
thermal refugia,aquatic,freshwater ecosystem,1
riverine habitat,aquatic,aquatic ecosystem,1
understory,terrestrial,woodland systems,1
open areas,terrestrial,woodland systems,1
under Paraná pine trees,terrestrial,Paraná pine forest,1
sea surface,marine,aquatic environment,1
fig trees,terrestrial,terrestrial ecosystem,1
-,terrestrial,deciduous forest,1
roadside habitat,terrestrial,mountain ecosystem,1
benthic habitat,aquatic,lake ecosystem,2
pelagic habitat,aquatic,lake ecosystem,3
non-arable habitat types,-,-,1
closed forests,-,-,1
areas with dense and deep litter mats,terrestrial,natural ecosystems,1
Conifer habitat,terrestrial,Pinaceae Trees Ecosystem,1
benthic,aquatic,artificial ponds,1
crop fields,terrestrial,cultivated wheat fields,1
semidesert grasslands,terrestrial,grassland ecosystem,1
land,terrestrial,soil fauna,1
laboratory setting,terrestrial,island ecosystem,1
ground-dwelling,terrestrial,terrestrial,1
high mountain lakes,aquatic,Alpine lakes,1
coastal habitats,aquatic,Baltic Sea,1
depths < 20 m,aquatic,Baltic Sea,1
wet meadow habitat,terrestrial,meadow ecosystem,1
coastal ranges,terrestrial,-,1
watercourses,terrestrial,-,1
urbanized areas,terrestrial,global ecosystem,1
undisturbed habitats,terrestrial,native range,1
disturbed habitats,terrestrial,native range,1
lakes,aquatic,lakes and rivers,1
rivers,aquatic,lakes and rivers,1
social bee colonies,terrestrial,apiculture,1
wild perennial social bee colonies,terrestrial,wild bee ecosystems,1
riparian habitat,aquatic,riparian ecosystem,3
sites with organic waste,terrestrial,Toamasina region ecosystem,1
proximity of study sites with road networks,terrestrial,Toamasina region ecosystem,1
riverine environments,aquatic,-,1
lacustrine habitats,aquatic,-,1
aquaria,aquatic,aquaria,1
anthropic areas,terrestrial,island ecosystem,1
four different habitats,terrestrial,ecosystems in south Chiapas,1
riparian habitats,terrestrial,river ecosystem,1
coqui-invaded and uninvaded plots,terrestrial,-,1
lakes,aquatic,waterways,1
rivers,aquatic,waterways,1
steppe,terrestrial,Patagonian steppe,1
0-300 m a.s.l. range,terrestrial,elevation gradient ecosystem,1
degraded pastures,terrestrial,Fuegian steppe,1
ponds,aquatic,low salinity ponds,1
angling ponds,aquatic,-,1
forest habitat,terrestrial,Andean forest ecosystem,1
managed bee colonies,terrestrial,global apiculture,1
floodplain tributaries,aquatic,floodplain ecosystem,1
floodplain lakes,aquatic,floodplain ecosystem,1
wetland fields,aquatic,wetlands,1
canopy of Deschampsia antarctica,terrestrial,Antarctic ecosystem,1
estuarine habitat,aquatic,Baltic Sea ecosystem,1
all habitats,-,-,1
woodland relicts,terrestrial,thermosclerophyllous woodland,1
cropping regions,terrestrial,-,1
habitat of Vespa velutina,terrestrial,Europe,1
forest,terrestrial,forest ecosystems,6
perennial underground rhizome systems,terrestrial,energy crop ecosystems,1
open lowlands,terrestrial,-,1
woodlands,terrestrial,-,6
estuaries,aquatic,marine ecosystems,1
shoreline,aquatic,River ecosystem,1
mountain habitats,terrestrial,Argentinian grasslands,1
ports of entry,terrestrial/marine,Caribbean Region,1
oak trees,terrestrial,"forests, urban and other landscapes",1
mountain valley,terrestrial,Western Europe,1
floodplain water bodies,aquatic,-,1
elevation range of cheatgrass,terrestrial,Great Basin,1
adjacent forests,terrestrial,European forests,1
coastal habitat,terrestrial,Mediterranean ecosystem,1
terrestrial,terrestrial,-,9
aquatic,aquatic,-,11
experimental enclosure,terrestrial,arid ecosystem,1
shallow subtidal communities,marine,shallow-water marine communities,1
aquatic sites,aquatic,freshwater ecosystem,1
marina,marine,marine,2
rocky reefs,marine,marine,1
main Antipodes Island and neighbouring mouse-free offshore islands,terrestrial,terrestrial ecosystem of Antipodes Island,1
local habitats,aquatic,freshwater,1
riparian zones,terrestrial,riparian zones,1
montane forest–grassland mosaics,terrestrial,forest–grassland mosaics,1
Phoenix palms,terrestrial,terrestrial ecosystem,1
temperate forest,terrestrial,Patagonian temperate forest,1
planted and naturally-occurring pine forests,terrestrial,pine forests,1
freshwater,aquatic,connected aquatic ecosystems,1
natural areas,terrestrial,-,1
riparian zone,terrestrial/aquatic,riparian system,1
New Zealand's dryland habitats,terrestrial,dryland,1
Forest cover,terrestrial,Forest ecosystem,1
rainforest understorey,terrestrial,eastern Australian rainforests,1
canopy,terrestrial,eastern Australian rainforests,1
novel habitats,-,novel environment,1
semitarid mountains,terrestrial,Mediterranean mountains,1
stream sites,aquatic,freshwater ecosystem,1
bird nests,terrestrial,nesting sites,1
grasslands,terrestrial,Pampean Mountain grasslands,1
mountain grasslands,terrestrial,neo-ecosystems,1
proximity of the river,aquatic,-,1
unspecified,-,-,1
littoral vegetation,aquatic,wetland communities,1
lotic environments,aquatic,Patagonian freshwater environments,1
terrestrial habitat,terrestrial,terrestrial ecosystem,12
oligotrophic wetlands,aquatic,freshwater wetlands,1
waterbodies,aquatic,wetlands,1
riparian zones,terrestrial,riparian forests,1
brackish waters,aquatic,marine,1
soft sediments in shallow waters,aquatic,soft bottom communities,1
grasslands,terrestrial,agricultural,1
areas under canopy and gaps without woody cover,terrestrial,high mountain woodland,1
submerged habitat,aquatic,aquatic ecosystem,3
-,-,Mediterranean biome communities,1
Nardus grassland,terrestrial,mountain meadow,1
mesic mountain hay meadow,terrestrial,mountain meadow,1
wet mountain hay meadow,terrestrial,mountain meadow,1
river,aquatic,freshwater,4
natural forest,terrestrial,forest ecosystems,1
hydromorphic soils,terrestrial,forest ecosystems,1
invaded forest ecosystems,terrestrial,forest ecosystems,1
peatbogs,terrestrial,sub-Antarctic ecosystem,1
forest,terrestrial,sub-Antarctic ecosystem,1
Alpine high-altitude lakes,aquatic,freshwater ecosystems,1
lowland streams,aquatic,freshwater ecosystems,1
habitats in the study sites,terrestrial,invaded plant communities,1
highland grasslands,terrestrial,-,1
galls,terrestrial,chestnut ecosystem,1
historical or sacred areas,terrestrial,urban environments,1
coastal,marine,South Western Atlantic,1
soybean fields,terrestrial,agricultural ecosystem,4
road habitat,terrestrial,alpine and subalpine ecosystems,1
natural vegetation habitat,terrestrial,alpine and subalpine ecosystems,1
lake ports,aquatic,Lake Constance,1
degraded downstream river areas,aquatic,Rhine River region,1
cities,terrestrial,urban environments,1
semi-enclosed gulf,marine,temperate coastal environments,1
benthic,aquatic,European fresh waters,1
substrate types with varying salinity,aquatic,Baltic Sea ecosystem,1
soil,terrestrial,soil food web,2
agricultural habitats,terrestrial,man-made disturbed ecosystem,1
ruderal habitats,terrestrial,man-made disturbed ecosystem,1
planktonic,aquatic,freshwater,1
wetland,aquatic,wetland ecosystem,3
Oder River valley,aquatic,riparian phytocenoses,1
ice plant patches,terrestrial,Pampean coastal dune system,1
native graminoid patches,terrestrial,Pampean coastal dune system,1
coastal habitats,terrestrial,Roadside ecosystem,1
soil moisture gradient,terrestrial,-,1
caldén microsites,terrestrial,semitarid open forest,1
open microsites,terrestrial,semitarid open forest,1
emergent wetland grasses,aquatic,wetland ecosystems,1
mesocosm,aquatic,aquatic environment,1
aspen stands,terrestrial,-,1
ungulate exclosures,terrestrial,-,1
forests,terrestrial,forests,1
small islands,marine,marine ecosystems,1
invaded sites,terrestrial,Cerrado ecosystem,1
sandy coasts,terrestrial,Mediterranean ecosystem,1
naturally-disturbed riverbeds,terrestrial,Mediterranean ecosystem,1
synanthropic habitats,terrestrial,Mediterranean ecosystem,1
Alytes dickhilleni breeding sites,terrestrial,amphibian,1
spawning habitat,aquatic,Baltic Sea ecosystem,1
Habitat complexity,marine,Marine ecosystem,1
new habitats,-,new environments,1
soil and leaf litter layer,terrestrial,forest ecosystems,1
disturbed areas,terrestrial,mountain ecosystem,1
undisturbed vegetation,terrestrial,mountain ecosystem,1
disturbed sites,terrestrial,native grasslands,1
wetland,aquatic,-,2
urban environment,terrestrial,-,1
eutrophic agricultural lakes,aquatic,-,1
oligotrophic lakes,aquatic,-,1
forest habitat,terrestrial,European forest ecosystem,1
Fagaceae collection,terrestrial,Arboretum Ecosystem,1
aquaculture,aquatic,marine,1
invaded streams,aquatic,seasonal semiarid subtropical forest,1
non-invaded streams,aquatic,seasonal semiarid subtropical forest,1
garden habitat,terrestrial,garden ecosystem,1
salmon spawning areas,aquatic,river system,1
grassland,terrestrial,temperate grasslands,1
rivers and streams,aquatic,freshwater ecosystem,1
lakes and ponds,aquatic,freshwater ecosystem,1
reservoirs,aquatic,freshwater ecosystem,1
waterfalls,aquatic,freshwater ecosystem,1
rice fields,aquatic,freshwater ecosystem,1
gardens,terrestrial,land,1
wild white fringetree habitat,terrestrial,North American forests,1
water,aquatic,-,4
recipient plant communities,terrestrial,Caribbean island ecosystem,1
semi-natural grassland,terrestrial,grassland ecosystem,1
seabed,marine,Mediterranean Sea,1
P. oceanica seagrass,marine,Mediterranean Sea,1
marine habitat,marine,marine,11
mesocosm,terrestrial,mesocosm communities,1
subtidal,aquatic,-,1
intertidal,aquatic,-,2
native forests,terrestrial,island ecosystem,1
agroecosystems,terrestrial,island ecosystem,1
root,terrestrial,natural and agricultural systems,1
soil,terrestrial,natural and agricultural systems,1
rhizosphere,terrestrial,natural and agricultural systems,1
freshwater and sedimentary habitats,aquatic,Mediterranean Sea,1
rural habitats,terrestrial,-,1
locks,aquatic,Rideau Canal Ecosystem,1
forest habitat,terrestrial,lowland humid forest,1
ponds,aquatic,river basin ecosystem,1
rivers,aquatic,river basin ecosystem,1
man-made habitats,terrestrial,Oman,1
areas with scattered populations of F. excelsior,terrestrial,-,1
marina habitat,marine,marine ecosystem,1
soil,terrestrial,deciduous forest ecosystem,1
habitats where honey bees are present,terrestrial,European ecosystem,1
protected areas (PAs),terrestrial,-,1
urban elements,terrestrial,landscape mosaics,1
agricultural patches,terrestrial,landscape mosaics,1
recipient habitat,terrestrial,landscape mosaics,1
freshwater,aquatic,freshwater ecoregion,1
lake habitat,aquatic,Lake Bourget ecosystem,1
floodplain habitats,aquatic,stream ecosystems,1
freshwater,aquatic,freshwater ecosystems,11
evergreen forest,terrestrial,forests and shrublands,1
deciduous forest,terrestrial,forests and shrublands,1
mixed forest,terrestrial,forests and shrublands,1
shrubland,terrestrial,forests and shrublands,1
nodule,terrestrial,North American habitats,1
salterns,aquatic,Mediterranean,1
semi-aquatic,aquatic,-,1
fishless habitats,aquatic,mountain lake ecosystem,1
controlled growth chamber,terrestrial,Mediterranean environment,1
artificial,-,-,1
agricultural,-,-,1
riverbank,terrestrial,-,1
pine forests,terrestrial,pine forests,2
commercial plantations,terrestrial,commercial plantations,1
sclerophyll Tapia woodland,terrestrial,Tapia woodland,1
littoral,marine,-,1
agricultural fields,terrestrial,-,3
Forest,terrestrial,Forest ecosystem,1
aquarium,aquatic,freshwater ecosystem,1
rainforest soil,terrestrial,rainforest,1
tourist camps and staff villages,terrestrial,Kruger National Park,1
introduced range,-,-,1
brown seaweed habitat,marine,marine ecosystem,1
aquatic,aquatic,aquatic,1
habitat of Elodea canadensis,-,-,1
habitat of Elodea nuttallii,-,-,1
pond habitats,aquatic,pond ecosystems,1
natural areas,terrestrial,natural ecosystems,2
Falkland rivers,aquatic,freshwater ecosystem,1
intact vegetation areas,terrestrial,island ecosystem,1
rivers,aquatic,Brazilian freshwater ecosystems,1
reservoirs,aquatic,Brazilian freshwater ecosystems,1
earthen ponds,aquatic,freshwater,1
Meadows,aquatic,-,1
leaf litter,terrestrial,forest ecosystem,1
mixed secondary forest,terrestrial,tropical forest,1
resources and biodiversity,-,ecosystems,1
artificial water bodies,aquatic,-,1
natural water bodies,aquatic,-,2
agroforestry parklands,terrestrial,agroforestry parklands,1
urban context,terrestrial,urban,1
bream zone,aquatic,Loire basin,1
grayling and barbell zones,aquatic,Loire basin,1
forest fragments and edges,terrestrial,-,1
pine plantation,terrestrial,plantation ecosystem,1
kanuka forest,terrestrial,forest ecosystem,1
grassland,terrestrial,plantation ecosystem,1
gorse shrubland,terrestrial,plantation ecosystem,1
reservoir habitat,aquatic,freshwater ecosystem,1
roadside vegetation,terrestrial,-,2
streamsides,aquatic,-,1
unshaded areas disturbed by feral cattle,terrestrial,-,1
grazing areas,terrestrial,rangelands,1
edges,terrestrial,woodland,1
interior,terrestrial,woodland,1
reservoirs,aquatic,Mediterranean river ecosystem,1
rivers,aquatic,Mediterranean river ecosystem,1
shallow waters,aquatic,coastal water environments,1
high altitude/low precipitation areas,terrestrial,-,1
"moister, cooler and less seasonal regions",terrestrial,native ecosystem,1
beech trees,terrestrial,forest,1
plot,terrestrial,reserve network,1
invaded river,aquatic,aquatic ecosystems,1
uninvaded river,aquatic,aquatic ecosystems,1
lowland wet forests,terrestrial,lowland wet forests,1
ponds,aquatic,freshwater,1
urban core,terrestrial,urban ecosystems,1
sub-urban,terrestrial,urban ecosystems,1
peri-urban (rural),terrestrial,urban ecosystems,1
soil seed bank,terrestrial,polar tundra,1
urban habitat,terrestrial,-,2
suburban habitat,terrestrial,-,1
fallow land,terrestrial,-,1
forested habitat,terrestrial,tropical forest,1
dune habitats,terrestrial,dune system,1
native habitats,terrestrial,island ecosystems,1
hybrid habitats,terrestrial,island ecosystems,1
novel habitats,terrestrial,island ecosystems,1
sandy coastal habitats,terrestrial,coastal dunes,2
beach-dune interface,terrestrial,coastal reserves,1
riparian,terrestrial,ecosystem integrity,1
terrestrial,terrestrial,ecosystem integrity,1
arboreal,terrestrial,ecosystem integrity,1
marine habitat,marine,Mediterranean ecosystem,1
diverse aquatic habitats,aquatic,-,1
islands in the Kimberley,terrestrial,Kimberley environment,1
mainland,terrestrial,Kimberley environment,1
rocky habitat,terrestrial,-,1
coastal kelp habitats,marine,kelp forests,1
eastern rainforest,terrestrial,rainforest,1
protected habitats,marine,coastal habitats,1
European wetlands,aquatic,freshwater ecosystems,1
shrub patches,terrestrial,desert ecosystem,1
natural vegetation,terrestrial,natural vegetation,1
habitat invisibility,terrestrial,terrestrial communities of Maritime Antarctic,1
marine,marine,-,4
human-made environments,-,-,1
laboratory conditions,-,-,1
temperate forest,terrestrial,forest ecosystem,1
"warm, dry, and wet habitats",terrestrial,Indian ecosystems,1
small tributary of the Limbang River,aquatic,freshwater ecosystem,1
pond in Lawas district,aquatic,freshwater ecosystem,1
litter,terrestrial,halophilous grassland,1
foliage,terrestrial,halophilous grassland,1
cheatgrass community,terrestrial,sagebrush ecosystem,1
crested wheatgrass community,terrestrial,sagebrush ecosystem,1
sagebrush-dominated site,terrestrial,sagebrush ecosystem,1
tidal marshes,aquatic,tidal estuarine wetland,1
coastal areas,aquatic,-,1
upland areas,terrestrial,-,1
benthic,marine,deep-sea ecosystem,1
native Eucalyptus ovata forest,terrestrial,forest systems,1
greenhouse,terrestrial,greenhouse ecosystem,2
Powerscourt Park,terrestrial,Irish ecosystem,1
KwaZulu-Natal Coastal Forest,terrestrial,iSimangaliso Wetland Park,1
railways,terrestrial,-,2
lake habitat,aquatic,freshwater ecosystem,1
Grangettes,terrestrial,Alps,1
roost,terrestrial,New Zealand,1
Ruvu river system,aquatic,Mindu and Kidatu water systems,1
Great Ruaha–Rufiji river system,aquatic,Mindu and Kidatu water systems,1
streams,aquatic,stream communities,1
stream,aquatic,freshwater ecosystem,2
north basin,aquatic,Windermere Lake Ecosystem,1
south basin,aquatic,Windermere Lake Ecosystem,1
inshore and offshore surface habitats,aquatic,Windermere Lake Ecosystem,1
Lake habitat,aquatic,Xingyun Lake Ecosystem,1
complex habitats,aquatic,-,1
open water,aquatic,-,1
seagrass,marine,marine ecosystem,1
Caulerpa taxifolia,marine,marine ecosystem,1
unvegetated substrate,marine,marine ecosystem,1
cover habitat,aquatic,lacustrine environments,1
bottom habitat,aquatic,lacustrine environments,1
water column habitat,aquatic,lacustrine environments,1
flowing water,aquatic,riverine ecosystem,1
still water,aquatic,riverine ecosystem,1
open water,aquatic,aquatic ecosystems,1
vegetated areas,aquatic,aquatic ecosystems,1
artificial vegetation habitats,aquatic,freshwater ecosystem,1
lagoonal habitats,aquatic,reef,1
seagrass beds,aquatic,reef,1
rocky reef,aquatic,reef,1
shallow water habitats,aquatic,reef,1
lakes,aquatic,lentic environments,1
rivers,aquatic,lotic environments,1
reservoirs,aquatic,lentic environments,1
reef,marine,degraded reef ecosystems,1
spawning habitat with medium-fast current velocity and coarse substrates,aquatic,-,1
undersurface of nest stones,aquatic,-,1
freshwater,aquatic,River Rhine system,1
