Relationship Name,Type,Count
allow ascension,ecological,2
trophic segregation,ecological,1
diet based on,ecological,2
metabolic constraints due to high flow,ecological,1
nesting and bark feeding,ecological,1
nesting,ecological,8
dietary reliance,ecological,2
transport facilitation,anthropogenic,1
establishment facilitation,ecological,2
establishment facilitation,biological,1
collection location,ecological,1
native population,ecological,1
introduction vector,physical,1
collection,ecological,1
algal bloom,ecological,1
fertilizer use,anthropogenic,1
spread through discharge,ecological,1
threat to native ecosystems,ecological,1
energy source relationship,ecological,1
host-specific relationship,ecological,1
introduction of harmful invasive plant species,anthropogenic,1
breeding habitat,ecological,1
habitat disturbance,ecological,2
potential habitat loss,ecological,1
diel partitioning of forage use,ecological,1
forage use and decline correlation,ecological,1
habitat within ecosystem,physical,2
proximity to development,anthropogenic,1
anti-herbivory,biological,1
terpene content comparison,biological,1
aphid-ant interaction,biological,1
shared host,ecological,1
pheromone trapping interference,ecological,1
Plant-herbivore interactions,ecological,1
herbivory and chemical profile variation,ecological,1
functional response change,biological,1
tracking study,ecological,1
nutrient inflow,ecological,1
urbanization impact,ecological,1
impact on relative abundance,ecological,1
nonnative and native species richness correlation,ecological,1
presence without facilitation,ecological,1
propagule source,ecological,2
tree invasion,ecological,2
response to fire,ecological,2
resilience to fire,ecological,1
fire management,anthropogenic,1
invasion and propagation,ecological,3
enhanced invasion,ecological,1
long-distance dispersal,anthropogenic,1
habitat orientation,ecological,1
dispersal pathway,ecological,2
invasion of habitat,ecological,2
causation,ecological,2
influence on richness,ecological,2
presence likelihood,ecological,1
species distribution and growth,ecological,1
replacement,anthropogenic,1
effect on fish,ecological,1
effect of water depth,ecological,1
effect of connectivity,ecological,2
habitat connectivity,ecological,1
potential hosts,ecological,1
restoration occurrence,ecological,1
negative impact on restoration,ecological,1
location of habitat,physical,3
part of habitat,ecological,1
threat to landscape conservation,ecological,1
impact on landscape elements,ecological,1
impact on establishment and spread,ecological,1
influence on spread,ecological,3
influence of landscape on recovery,ecological,1
effect on recovery time,ecological,1
invasion correlation,ecological,2
expansion and aggregation,ecological,1
expansion scattered,ecological,1
vulnerability source,ecological,1
nutrient dynamics comparison,ecological,1
acclimation,physiological,1
high seed production,biological,1
defense mechanism,biological,2
effect on,ecological,3
colonization by,ecological,1
N-dynamics,ecological,1
establishment correlation,ecological,1
negative establishment effect,ecological,1
negative growth relation,ecological,1
positive growth relation,ecological,1
water extraction,ecological,2
competition for water,ecological,1
chemical influence on seedling growth,ecological,1
effects_on_soil_nutrient_dynamics,ecological,2
nutrient_uptake_efficiency,ecological,1
dieback occurrence association,ecological,1
effect on nutrient availability,ecological,1
displacement of native species,ecological,3
alteration of litterfall and soil properties,ecological,2
interference,ecological,5
mycorrhizal association,ecological,3
carbon incorporation,ecological,2
carbon flow,ecological,1
resource potential,economic,1
invasive origin,ecological,3
comparison of growth rates,biological,1
vector in spread of diseases,biological,1
limited spatial overlap,ecological,1
environmental resistance,ecological,1
aggression and vulnerability,ecological,1
native existence,ecological,1
habitat residency,ecological,1
diet breadth,biological,1
specialization impact,biological,1
Impacts ecosystem functioning,ecological,1
definitive host,biological,1
resilience to anthropogenic change,ecological,1
Impact of road density on occurrence,ecological,1
Impact of proportion of urban area on occurrence,ecological,1
biomass increase with distance,biological,1
lack of co-evolution,ecological,1
favored_by,ecological,2
avoids,ecological,1
increased prevalence,ecological,2
better coping with invasion,ecological,1
impact of urbanisation on weed invasion,ecological,1
correlation between soil pH and vegetation variation,ecological,1
seed predation,biological,3
allelopathic inhibition,ecological,7
control of colonization,anthropogenic,1
environmental warming effect,ecological,1
colonization facilitation,ecological,1
competition under climate amelioration,ecological,1
impact of grazing on native species,ecological,1
impact of grazing on exotic species,ecological,1
dominance and persistence,ecological,1
competition and crowding,ecological,1
growth effect with nitrogen,ecological,1
harboring,ecological,2
window for alien species colonization,ecological,1
flower visitation and seed set impact,ecological,1
community maintenance,ecological,1
resource availability,ecological,2
floristic homogenization,ecological,2
impact on species richness and abundance,ecological,2
afterlife effect,ecological,1
species richness relationship,ecological,3
agriculture impact,anthropogenic,1
geomorphic impact,ecological,1
interaction due to forest fragment size,ecological,1
relationship between forest fragment size and soil nutrients,ecological,1
correlation with nutrient contents,ecological,1
distribution along elevation gradient,ecological,1
distribution related to climatic variables,ecological,1
invasion upon nutrient addition,ecological,1
increased cover and biomass,ecological,1
competitive colonization,ecological,1
species introduction and performance,ecological,1
competitive effect,ecological,3
soil conditioning effect,ecological,1
soil conditioning resilience,ecological,1
soil conditioning sensitivity,ecological,1
distribution relationship,anthropogenic,2
influence on ecosystem function,ecological,1
comparative leaf litter decomposition,ecological,1
distinct microbial community,biological,1
seed-bank and growth relationship,biological,1
decline,ecological,2
infestation and impact,ecological,3
competitive effect with priority,ecological,1
resource provision,ecological,3
plant-mycorrhizal fungal interaction,biological,1
fungal colonization,biological,1
impact_comparison,ecological,1
nutrient competition,ecological,1
pollinator overlap,ecological,1
pollination benefit,biological,1
Herbivory variation along a latitudinal gradient,ecological,1
growth and reproduction trigger,ecological,1
growth-rate to size comparison,ecological,1
genetic structure assessment,ecological,1
genetic diversity comparison,ecological,4
influence on spread,anthropogenic,1
impact on decomposition,ecological,3
potential habitat shift,ecological,1
impact on pollination services,ecological,2
climatic suitability,ecological,2
spread and invasion,anthropogenic,1
potential invasiveness concern,ecological,1
competitive invasion,ecological,1
habitat requirements,ecological,1
threat to ecosystems,ecological,3
original_habitat,physical,1
phenotypic_plasticity,biological,1
allelopathic effects,ecological,2
impact of volcanic ash-fall,ecological,1
impact of flood,ecological,1
increased abundance,ecological,2
decreased richness and diversity,ecological,1
proliferation,ecological,5
equal flood impact,ecological,1
structuring,ecological,1
settlement substrate,ecological,1
plant-pollinator relationship,ecological,1
impact of invasive species on native fauna,ecological,1
distribution of invasive species,ecological,3
alteration of throughfall chemistry and rainwater availability,ecological,1
genetic origin,biological,4
habitat-association,ecological,3
introduction-event,ecological,1
introduction and genetic diversity,ecological,1
bioactivity higher in temperate regions,ecological,1
variable bioactivity in tropical regions,ecological,1
high bioactivities in introduced lineage,ecological,1
chemical defenses driven by environment,ecological,1
competition with crops,ecological,1
pest hosting,ecological,1
location,ecological,5
control measure,anthropogenic,5
presence_relationship,ecological,2
beneficial impact,ecological,2
effect on soil similar to native,ecological,1
differential soil effects,ecological,1
soil separation by species,ecological,1
erosion influence,ecological,1
biocontrol interaction,ecological,7
invasion due to abandonment,ecological,1
impact of invasion,ecological/social,1
urban impact on restoration,ecological,1
invasion and succession interruption,biological/ecological,1
inhibitory effects of essential oil,biological,2
impact of nitrogen on methane,ecological,1
pollinator competition,ecological,1
flower-invertebrate interaction,ecological,1
impact on plant–pollinator interactions,ecological,2
impact on foraging behaviour,ecological,1
biocontrol,ecological,6
feeding behavior,biological,1
impact on livelihoods,ecological/anthropogenic,1
spread due to nitrogen enrichment,ecological,1
nutrient enrichment,ecological,1
species interaction/competition,ecological,1
influence of nutrient addition,ecological,1
effect on abundance,ecological,1
chromosomal similarity,genetic,1
origin of invasion data,anthropogenic,1
invasion occurrence,ecological,2
seed dispersal,biological,9
germination rate difference,ecological,1
habitat_relationship,ecological,3
stress response,biological,2
commonality of rarity,ecological,1
commonality pattern,ecological,1
rarity pattern,ecological,1
indicator relationship,ecological,3
ecosystem functioning influence,ecological,1
triggered regime shifts,anthropogenic,1
changed circulation patterns,physical,1
species recovery,ecological,1
species promotion,ecological,1
threat,physical,1
presence of species of high conservation value,ecological,1
infects,biological,1
spatial distribution association,ecological,1
bio-indicator relationship,ecological,1
sediment biogeochemical change,ecological,2
negative relationship,biological,1
positive relationship,biological,1
CO2 flux contribution,ecological,1
species competition,ecological,4
facilitates range expansion,ecological,1
population establishment,biological,1
population expansion,biological,1
intentional movement,anthropogenic,1
geographic origin,ecological,8
species presence,ecological,30
distribution-related,ecological,1
frequent species distribution,ecological,1
population establishment,ecological,9
abundance ratio change,ecological,1
first record in the archipelago,ecological,1
presence_record,ecological,2
new_record,ecological,1
monitoring_method,ecological,1
secondary introduction,anthropogenic,3
transportation as hull fouling,anthropogenic,1
stepping stone populations,ecological,1
potential for further spread,ecological,1
expansion into,ecological,1
common habitat preferences,ecological,1
presence in greenhouses,ecological,1
possible repeated introductions,anthropogenic,1
naturalization and succession,ecological,1
species introduction and spread,ecological,3
genetic study,biological,4
introduction and potential invasion,ecological,2
invasion of species,ecological,1
enzyme production,biological,1
biomass and nutrient dynamics comparison,ecological,1
dominance_in_seed_rain,ecological,1
seed_limitation,ecological,1
plant-abiotic interactions,ecological,1
dietary overlap during hydrologic recession,ecological,1
positive association,ecological,11
correlation,physical,3
emission and consumption,biological,1
comparison of GHG fluxes,ecological,1
effect on CH4 emissions,ecological,2
impact on P storage capacity,ecological,1
dependency,biological,2
management importance,ecological,1
effect on composition and abundance,ecological,1
disappearance due to invasion,ecological,1
gradual occurrence due to invasion,ecological,1
invasion,ecological/anthropogenic,2
prevention and management,anthropogenic,1
governance and control,anthropogenic,2
invasion impact on aviation and recreation,ecological/anthropogenic,1
biogeographic distribution,ecological,2
introduction as ornamental,anthropogenic,1
dieback association,ecological,1
population genetic structure,ecological,2
host use,ecological,3
affect on abundance and distribution,ecological,1
host-pest relationship,biological,3
primary nesting locations,ecological,1
secondary nesting locations,ecological,1
crop damage,ecological,1
tree debarking,ecological,1
herbivory pressure,biological,2
predation threat,ecological,4
potential predation threat,ecological,1
most common introduction,biological,1
Africanization and establishment,biological,1
association with,ecological,10
absconding effect,ecological,1
impact_on_native_insects,ecological,3
beneficial for coffee production,ecological,1
increases coffee production,anthropogenic,2
monitoring,anthropogenic,2
Invasion Syndrome 1,ecological,1
Invasion Syndrome 2,ecological,1
Invasion Syndrome 3,ecological,1
Invasion Syndrome 4,ecological,1
modification of vegetation,ecological,1
growth comparison after disturbance,ecological,1
simulation approach,anthropogenic,1
recolonisation after removal,ecological,1
decline post-removal,ecological,1
impact of invasive species on local fauna,ecological,1
forest management impact,anthropogenic,1
decrease with,ecological,2
increase with,ecological,2
seed dispersal and soil seed bank development,ecological,1
biotic interactions,ecological,4
biocontrol interaction,biological,1
environmental interaction,ecological,2
evolutionary interaction,biological,1
spatial autocorrelation of decline,ecological,1
species interaction outcomes,biological/ecological,1
influence on invasiveness,biological/ecological,1
influence on success,biological/ecological,1
trophic links,ecological,1
impact on trophic links,ecological,1
alteration of structure,ecological,1
plantation,ecological,1
potential regeneration,ecological,1
thinning and restoration,ecological,1
Habitat preference,ecological,1
Microhabitat choice,ecological,1
Dietary relationship,biological,1
Potential plant dispersal,ecological,1
phenotypic plasticity comparison,biological,1
interference competition,ecological,6
substratum preference,ecological,1
higher abundance of Ocypode cordimana,ecological,1
absence of Coenobita rugosus,ecological,1
pest impacts,ecological,1
alteration through herbivory,biological,1
alteration through predation or competition,ecological,1
ecosystem state shift,ecological,1
litter decomposition comparison,ecological,1
ecosystem function alteration,ecological,1
ecosystem alteration,ecological,8
distribution within IAOR,ecological,1
decomposition rate difference,biological,1
decomposition rate comparison,biological,1
introduction and cultivation,anthropogenic,1
naturalization determination,ecological,1
naturalization influenced by planting duration,ecological,1
naturalization influenced by fire regimes,ecological,1
naturalization influenced by absence of fires,ecological,1
higher abundance correlation,ecological,1
modification,biological,1
influence of seed traits on seedling performance,ecological,1
dispersal relationship,ecological,2
segregation by water availability,ecological,1
spread,anthropogenic,5
affects establishment,ecological,1
comparison of traits,ecological,1
ancestral range,ecological,1
climatic influence on suitability,ecological,1
niche similarity,ecological,2
carrier-host relationship,biological,3
disturbance,anthropogenic,4
influence,physical,2
vegetation management,anthropogenic,2
pathogen infestation,ecological,1
dependence on,ecological,1
infestation of host plants,biological,1
synergistic intercropping,ecological,1
drought vulnerability,ecological,1
management practices,anthropogenic,3
rooting impact,ecological,2
alteration of plant community,ecological,1
promotion of pollination niche overlap,ecological,1
pollen transport network,biological,1
presence and performance,ecological,1
impact on C storage and tree diversity,ecological,1
location within,physical,2
crop type's effect on invasive tree,ecological,1
rainfall impact on invasive tree,ecological,1
supporting habitat,ecological,1
impact on hydrometeorological dynamics,ecological,1
promotion of stemflow,ecological,1
distribution of allelopathic chemicals,ecological,1
rainfall partitioning,ecological,2
impact on marine ecosystems,ecological,2
prey_selection,ecological,1
defense_mechanism,biological,1
responsiveness to social cues,behavioral,1
predatory behaviour/aggression,ecological,1
motor diversity enhances problem-solving,ecological,1
heterospecific association,ecological,1
exploratory behaviour,ecological,1
association behaviour,ecological,1
habitat selection and reproduction,ecological,1
adaptive habitat switching,ecological,1
habitat supplementation,ecological,1
enhanced reproduction,ecological,1
effect of water depth on social stability,ecological,1
effect of group fusion on social stability,ecological,1
behavioural response to olfactory stimuli,ecological,2
shoaling,ecological,1
avoidance response,ecological,1
aggressive response,ecological,1
ambiguous reaction,ecological,1
exploratory activity comparison,ecological,1
passage behaviour,ecological,1
sequestration,physical,1
accumulation,biological,2
importance in food webs,ecological,1
tree cover loss due to ALB eradication,ecological,1
impact of tree cover loss on LST,ecological/physical,1
predation/herbivory,ecological,1
presence/establishment,ecological,1
impact on land degradation,anthropogenic,1
effect on vegetation cover,ecological,1
harmful impact,biological,1
species distribution model,ecological,2
establishment link,ecological,1
impact on sediment supply,ecological,1
impact of ALAN on signal crayfish behavior,ecological,1
detection method,biological,3
Invasive potential,ecological,1
Community Composition,ecological,1
nitrogen fixation,ecological,1
climatic impact,physical,4
impact on microbial community,ecological,1
correlation between soil pH and microbial biomass,ecological,1
comparison of soil types,physical,1
competitive exclusion hypothesis,ecological,1
co-variation,ecological,1
impact of shelterbelts on earthworms,ecological,1
earthworm abundance in pastures,ecological,1
soil preference,ecological,1
soil modification,ecological,2
interaction with root morphology,ecological,1
distribution gradient,ecological,1
influence on soil,ecological,1
grazing preference,biological,1
allelopathic activity,ecological,4
successional trend/colonization,ecological,1
growth response,biological,2
sexual reproduction and viability,biological,1
introduction route,anthropogenic,5
inhibition of germination,ecological,3
effect on germination,ecological,2
domination,ecological,7
response to nutrient enrichment,ecological,3
competitive dynamics,ecological,2
coexistence/competition,ecological,1
mutual inhibition,ecological,1
diversity comparison,ecological,1
zonation,ecological,2
genetic connectivity,ecological,4
negative effect on macrophytes,ecological,1
management,ecological,4
habitat_occupancy,ecological,2
germination_effect,ecological,2
reciprocal indirect facilitation,ecological,1
impact on native communities,ecological,3
litter decomposition and nutrient cycling,ecological,1
inhabits,ecological,15
shading impact,ecological,1
native distribution,biological,7
introduced range,biological,2
impact on algal composition and productivity,ecological,1
impact on productivity,ecological,1
indicator of ecosystem health,ecological,1
implications of management,anthropogenic,1
impact on growth,ecological,4
grazing effect,ecological,3
biofouling reduction,ecological,1
positive interaction,ecological,5
environmental impact comparison,ecological,1
effluent management impact,physical,1
species-specificity of D-Phe-CHH,biological,1
effect of CBZ,ecological,1
differential response to CBZ,biological,1
exposure to contaminants,ecological,1
adaptative proteomic response,biological,1
comparative study,ecological,1
impact on survival,ecological,2
pest risk,ecological,1
trophobiosis,ecological,1
dieback,ecological,1
tending,ecological,1
impact on GHG fluxes,ecological,1
invasive species control,ecological,2
geographical spread,ecological,6
distribution and genetic structure,ecological,1
chemical change,physical,1
facilitation in low zone,biological,1
facilitation in mid zone,biological,1
emersion stress in high zone,ecological,1
interference competition in low zone,biological,1
induction cost,biological,1
predator pressure,ecological,1
herbivore load,ecological,2
tolerance to herbivory,ecological,1
reproductive success,biological,1
propagule pressure reduction,ecological,1
induced plant response,ecological,1
invasion relationship,anthropogenic,1
influence on demography,anthropogenic,1
influence on demography,physical,1
allelopathic legacy,ecological,1
mutualism disruption,ecological,1
altered seed dispersal,ecological,1
colony-colony interactions,ecological,1
increased predation rate,ecological,1
decreased predation rate,ecological,1
reduced richness,ecological,1
nutrition and reproduction,ecological,1
nectar availability competition,ecological,1
impact on seed bank,ecological,1
impact and management,ecological,2
habitat-dependent predation risk,ecological,1
habitat generalist,ecological,2
increased predation pressure,ecological,1
allelopathic effect,ecological,13
pollination and predation impact,ecological,1
competitive exclusion and predation,ecological,1
insect diversity impact,ecological,1
prey-predator interaction,biological,1
foraging preference,ecological,3
Comparison of predation-linked behaviours,ecological,1
terrestrial emigration,ecological,5
terrestrial emigration comparison,ecological,1
exploitative competition,ecological,3
eradication_campaign,anthropogenic,1
degradation,anthropogenic,2
degradation,ecological,5
foraging avoidance,ecological,2
impact on plant assemblages,ecological,1
impact on floristic composition,ecological,1
browsing effect,ecological,1
competition for pollinator services,ecological,1
effect on visitation rates,ecological,1
impact on conspecific pollen deposition,ecological,1
competition/predation,biological,2
habitat factor,physical,1
habitat suitability,physical,1
effect of habitat quality on abundance,ecological,1
effect of landscape processes on abundance,ecological,1
habitat degradation,ecological,3
rail density changes,ecological,1
salinity impact on life history traits,ecological,1
distribution in relation to salinity,ecological,1
support,anthropogenic,2
competition vs. coexistence,ecological,1
reintroduction,ecological,2
species-habitat relationship,ecological,1
F1 hybrid seedling recruitment,biological,1
herbicidal effect,biological,1
herbicide uptake,physical,1
habitat loss,ecological,4
alteration by fire,ecological,1
introduction/establishment,ecological,1
conservation management,anthropogenic,1
characteristic influence,ecological,1
elevation impact,ecological,2
human impact,ecological,1
socio-economic and political factors,anthropogenic,2
Cold War,political,1
negative impact on biodiversity,ecological,1
natural predation,ecological,1
risk_assessment,ecological,2
species richness increase,ecological,1
rodent-invertebrate impacts,ecological,1
invertebrate presence linked to food resupply,ecological,1
economic benefit,socioeconomic,1
occupation_increase,ecological,1
propagule_pressure,anthropogenic,1
seal-related soil disturbance,ecological,1
negative impact on native vegetation,ecological,1
survival probability,biological,1
species at risk,ecological,1
propagule transfer,anthropogenic,1
high-risk items for propagule transfer,anthropogenic,1
increased probability of propagule transfer,anthropogenic,1
facilitation and inhibition effects,ecological,1
component,ecological,1
evaluation,ecological,2
species introduction and control,ecological,1
habitat availability,ecological,2
eDNA concentration,ecological,1
eDNA persistence,ecological,1
flower visitation,ecological,3
local replacement,ecological,1
risk of cross-infection,biological,1
potential invasive spread,biological,1
habitat dominance,ecological,3
habitat occurrence,ecological,3
activity influenced by environment,ecological,1
response to urban environment,ecological,1
illegal translocation,anthropogenic,1
illegal trade,anthropogenic,2
brood parasitism,ecological,1
impact of feral ungulates,ecological,1
exclusion for protection,ecological,1
potential detection,ecological,1
monitoring and management,ecological,2
predation and habitat avoidance,ecological,1
mesopredator suppression,ecological,1
population fluctuation,ecological,1
population presence,ecological,5
density peak,ecological,1
density comparison,ecological,1
habitat refuge,ecological,2
barrier to spread,ecological,1
abundance change with habitat,ecological,1
abundance response to logging intensity,ecological,1
abundance response to forest cover,ecological,1
abundance increase with land-use intensity,ecological,1
competitor,ecological,1
establishment and invasion,ecological,2
unaffected by,ecological,1
management action,anthropogenic,1
spread of invasive alien plants,ecological,1
afforestation,anthropogenic,1
loss to invasive and afforestation,ecological,1
habitation and impact,ecological,1
range shift influence,ecological,2
filtering,ecological,1
decline with distance,ecological,1
predominance,ecological,4
insect infestation,biological,1
root feeding,biological,1
disease infection,biological,1
seed pest-host,biological,1
host-specific,biological,2
impact on biodiversity and ecosystem services,ecological,2
control relationship,biological,3
dispersal and colonization,ecological,1
host-plant interaction,biological/ecological,1
host plant utilization,biological,2
origin and variation,ecological,1
impact on regeneration,ecological,1
soil fungistasis,ecological,1
reduced invasibility,ecological,1
microbial invasion,ecological,1
impact on reproduction,ecological,1
reduction of reproduction,ecological,1
prevention of seed and pollinator development,ecological,1
potential biological control agent,anthropogenic,1
feeding and oviposition preference,ecological,1
non-problematic introduction,ecological,1
parasitoid release and monitoring,anthropogenic,1
pest-plant,biological,1
host-parasitoid,biological,1
target control,biological,1
positive impact on native species,ecological,1
location-specific impact,anthropogenic,1
transformation into adsorbent,physical/chemical,1
sorption,chemical,1
inhibitory activity,ecological,1
introduction with founder events,ecological,1
Aedes aegypti dispersal,biological,1
habitat preference,biological,3
sediment trapping efficacy,ecological,1
initial habitat,ecological,1
new habitat,ecological,1
competition and grazing pressure,ecological,1
salinity tolerance,biological,1
enhanced invasive capacity,biological,1
comparative ChE activity,biological,1
response to environmental stress,ecological,1
environmental condition,physical,1
sorption,physical,1
uptake and accumulation,ecological,1
bioaccumulation,ecological,3
inhibition of zebrafish uptake transporter Oatp1d1 by caulerpenyne,biological,1
metal accumulation,biological,2
insecticide exposure effect,biological,1
thermal tolerance,biological,1
bioaccumulation and depuration,biological,1
geographical context,physical,1
disease introduction,ecological,1
harbor and tolerate pathogens,biological,1
community impact,ecological,4
threat and extinction,ecological,1
biodiversity and ecosystem function (B-EF),biological,1
species response,ecological,1
introduction of new species,ecological,1
population increase causing damage,ecological,1
population causing damage,ecological,1
population fluctuations,ecological,1
invasive species complex,ecological,1
predation/detection,biological,1
species location,ecological,6
bridgehead invasion scenario,ecological,1
potential misidentification,ecological,1
counterattack during raids,biological,1
competitive interaction,biological,4
co-evolutionary interactions,biological,1
reproduction and genetic variation,biological,1
accumulation of adaptive potential,ecological,1
contribution to evolutionary potential,ecological,1
infection and disease dynamics,ecological,1
disease causation,biological,1
spread of pathogen,anthropogenic,2
colonization and adaptation,evolutionary,1
allele purging,biological,1
causes disease,biological,3
detoxification,biological,1
species diversity change,ecological/anthropogenic,1
potential benefit,ecological,1
impact,ecological/anthropogenic,1
immune system components,biological,1
predation and pathogen transmission,ecological,1
pathogen susceptibility,ecological,1
presence in ecosystem,ecological,1
risk of propagation,ecological,1
biocontrol agent and host,biological,2
response,ecological,3
distribution link,ecological,1
northern extent connection,ecological,1
species transfer,anthropogenic,1
occupation,ecological,2
invasion of Myocastor coypus in Iran,ecological,1
invasion spread,ecological,5
habitat dependency,ecological,2
recent detection,biological,1
origin point of spread,biological,1
resident-invader interaction,ecological,1
colonization,biological,16
comparison,biological,3
impact on glyphosate concentration,ecological,1
introduction and growth,biological,1
acetate breakdown,ecological,1
water discharge,anthropogenic,1
activity rate,biological,1
slow breakdown,ecological,1
glyphosate effects,chemical/biological,1
agriculture expansion,anthropogenic/ecological,1
glyphosate dissipation,ecological,1
nutrient increase,ecological,1
habitat containment,ecological,1
invasion_speed,ecological,1
invasion_density,ecological,1
invasion_potential,ecological,1
range shifting ability,ecological,1
habitat management,anthropogenic,1
spread facilitation,ecological/anthropogenic,1
acceleration,anthropogenic,1
acceleration,ecological,1
disease vector,biological,5
dispersal vector,anthropogenic,2
response to policy,anthropogenic,1
economic damage causation,economic,1
infestation impact,ecological,4
possible invasion location,ecological,1
stakeholder prioritization and perception,ecological/anthropogenic,1
presence and management,ecological,1
conservation benefits,ecological,1
species spread restriction,ecological,1
economic benefit,economic,1
supplementing income,economic,1
surveillance and management,anthropogenic,1
utilization strategy,anthropogenic,1
economic effect,anthropogenic,1
adverse relationship,ecological,1
management strategy,anthropogenic,5
regeneration,ecological,1
preferential regeneration,ecological,1
causal effect,ecological,1
phytoremediation,ecological,9
phytostabilization,ecological,1
post-fire occurrence,ecological,1
post-fire invasion,ecological,2
growth inhibition,biological,5
homogenization,ecological,7
biomanipulation to control harmful algal blooms,ecological,1
impact of sea embankment reclamation,ecological,2
substrate support,physical,2
soil legacies,ecological,1
priority effects,ecological,4
effect on rockfall risk,ecological,1
influence on forest structure,ecological,1
afforestation effort,ecological/anthropogenic,1
physiological response,biological,1
population spread,ecological,1
biological invasion,ecological,9
impact on integrity,ecological,1
abundance in response to disturbance,ecological,1
bioindicator role,biological,1
pollution impact,anthropogenic,2
impact on biotic indices,ecological,2
assessment,ecological,2
ecosystem degradation due to introductions and extirpations,ecological,1
introduction impacts,ecological,1
river fragmentation,physical,1
experimental,ecological,1
effects of non-native tree species on cultural ecosystem services,ecological,1
habitat provision and opportunistic association,ecological,1
macro-ecological assessment,ecological,1
Impact of climate change on plant distribution,ecological,1
invasion risk assessment,ecological,3
habitat_location,geographical,1
modifies decomposition rate,ecological,1
affects litter decomposition,ecological,1
impact on plant species richness,ecological,3
introduction and proliferation,ecological,1
coexistence without competitive exclusion,ecological,1
pollution resistance hypothesis,ecological,1
Invasive species impact assessment,ecological,1
impact on leaf breakdown,ecological,1
competitive impact,ecological,5
influences presence/absence,ecological,1
affects abundance,ecological,1
influence presence and abundance,ecological,1
habitat_presence,ecological,3
species_detection,ecological,2
habitat resistance,ecological,2
effect of maturity on alien richness,ecological,1
effect of maturity on native richness,ecological,1
competition and displacement,ecological,7
regional impact,geographical,1
host,biological,11
habitat support relationship,ecological,1
ecosystem relationship,ecological,1
Biodiversity impact,ecological,1
Habitat quality,ecological,1
economic impact,ecological,13
increased occurrence,ecological,1
impact on native community,ecological,1
threat to marine biodiversity,ecological,1
species habitat interaction,ecological,1
risk/vulnerability assessment,biological/ecological,1
integration into risk model,ecological/anthropogenic,1
cause-condition,physical,1
condition-result,ecological,1
cause-effect,biological,2
cause-effect,anthropogenic,1
policy-impact,anthropogenic,1
intraguild predation and mesopredator release,ecological,1
human as dispersal vectors,ecological,1
subsystem perturbations,ecological,1
competition and probability of invasion,biological,1
influence on phase shift,ecological,1
competitiveness,ecological,1
service_provision,ecological,1
impact of fish stocking,ecological,1
plant-bee relationship,ecological,1
model context,ecological,1
competitive,ecological,4
threat to native species,ecological,3
competition for space,ecological,4
Invasion and geographic spread,ecological,1
Impact on fisheries,ecological/economic,1
negative impact,biological,3
network_relationship,ecological,1
displacement,biological,1
addresses,anthropogenic,1
supply-use relationship,economic,1
invasion impact,socio-economic,1
management intervention preferences,anthropogenic,1
impact_on_ecosystem_services,ecological,4
recruitment and dominance,ecological,1
recruitment dominance,ecological,1
local dominance,ecological,1
diet modification,ecological,1
reduced accessibility and availability,ecological,1
predation and community structure influence,ecological,1
comparison of ecophysiological traits,ecological,1
ecosystem domination,ecological,1
ecosystem functioning alteration,ecological,1
S-M front,ecological,1
S-S-M front,ecological,1
growth pattern,ecological,1
presence and abundance,ecological,3
presence throughout the year,ecological,1
established populations,ecological,1
competitive performance,ecological,2
colonization and distribution,ecological,2
influence on epibenthic assemblages,ecological,1
positive influence,ecological,4
negative influence,ecological,3
impact on water temperature,anthropogenic,1
coexistence/predominance patterns,ecological,1
opportunistic colonization,ecological,1
erosion/accretion trends,ecological,1
fitness and impact comparison,ecological,1
native_origin,biological,4
susceptibility_to_invasion,ecological,1
habitat_composition_influence,ecological,1
habitat_location,physical,1
alien_taxa_influence,ecological,1
proximity and occurrence,anthropogenic,1
seed dispersal and fate,ecological,1
management requirement,anthropogenic,1
introduction via ballast water,anthropogenic,2
temperature control on distributions,ecological,1
connectivity,physical,4
reclassification,biological,1
competition and dominance,ecological,1
species introduction and adaptation,ecological,1
recruitment enhancement,ecological,2
recruitment reduction,ecological,1
reduced cannibalism,biological,1
reduced predation,biological,1
biofouling,ecological,4
shelter provision,ecological,1
biodiversity impact,ecological,4
habitat suitability modulation,ecological,1
protecting native species,ecological,1
influence on organic matter,ecological,1
species range shifts,ecological,1
impact on ecological functioning,ecological,1
facilitation of species movement,physical,1
habitat formation,ecological,2
complexity gradient,ecological,1
chemical defense,biological,3
interaction,biological,9
food web alteration,ecological,1
facilitation of settlement and development,ecological,1
location-specific population,ecological,1
effect on community,ecological,1
alteration of soil properties,ecological,1
preference for litter,biological,2
development,ecological,1
mycorrhizal inoculation,biological,3
climatic comparison,ecological,1
functional differentiation,ecological,1
biotransport,ecological,1
migration,biological,1
methylmercury production,ecological,1
methylation,ecological,1
composition shift,ecological,1
chemical influence,physical,1
community coverage,ecological,1
linear correlation,biological,1
response to nitrogen fluctuations,ecological,1
stress tolerance comparison,ecological,5
alternation,ecological,1
tolerance to hypercapnia,ecological,1
distribution and establishment,ecological,6
human impacts on biodiversity,anthropogenic,1
introduction location,physical,5
risk assessment and perception,social,2
Naturalisation,ecological,1
introduction and hybridization,ecological,2
introduction and exploitation,ecological/anthropogenic,1
species interaction with electric field,ecological,1
population response to management,ecological,1
haplotype origin,genetic,1
