Species Name,Role,Count
salix humboldtiana,native,3
salix alba,exotic,1
populus nigra,exotic/introduced,1
xylella fastidiosa,invasive,4
diplotaxis erucoides,native,1
honeybees,-,4
bumblebees,-,2
non-corbiculate wild bees,-,1
spartina versicolor,invasive,1
spartina patens,native,1
epichloë occultans,symbiotic (endophyte),1
warm-season grasses,native,1
cool-season grasses,native,1
corvus splendens,invasive,3
centaurea stoebe,introduced,1
aquatic non-indigenous species,non-indigenous,1
terrestrial non-indigenous species,non-indigenous,1
animalia,non-indigenous,1
chromista,non-indigenous,1
plantae,non-indigenous,1
protozoa,non-indigenous,1
native north american genotypes of phragmites australis,native,1
senecio pterophorus,native/introduced/alien,1
leucanthemum vulgare,introduced,1
leucanthemum ircutianum,introduced,2
phragmites australis,native/introduced/invasive,2
ichthyosaura alpestris,native,3
canopy spiders,indigenous/exotic,1
lessepsian fish,invasive,1
native european species,native,2
iguana iguana,invasive,3
ficus spp.,native,1
annona glabra,native,1
pterocarpus spp.,non-native,1
phragmites australis ssp. americanus,native,1
phragmites australis var. berlandieri,-,1
phragmites mauritianus,-,1
pelagic nis,non-indigenous,1
benthic nis,non-indigenous,1
barnacle larvae,non-indigenous,1
ponto-caspian cladocerans,non-indigenous,1
polychaetes,non-indigenous,1
gastropods,non-indigenous,1
decapods,non-indigenous,1
dreissenid bivalves,non-indigenous,1
amphipods,non-indigenous,1
mysids,non-indigenous,1
american mink (neovison vison),invasive,2
phragmites australis,-,3
solidago virgaurea,native,4
solidago × niederederi,-,1
p. angustifolia,invasive,1
resident fleshy-fruited species,native,1
grader grass,invasive,1
kangaroo grass,native,1
black spear grass,native,1
rufous bettongs,-,1
tropical short-tailed mice,-,1
eastern chestnut mice,-,1
common planigales,-,1
northern brown bandicoots,-,1
pueraria montana var. lobata,invasive,3
alternanthera sessilis,native,4
cassida piperata,native,1
meloidogyne incognita,native,1
phragmites australis m1 lineage,introduced,1
introduced plant species,introduced,7
native plant community,native,3
invasive introduced plant species,invasive,1
non-invasive introduced plant species,introduced,1
ectomycorrhizal fungi,invasive,1
emys orbicularis,native,5
trachemys scripta elegans,invasive,6
diabrotica virgifera virgifera,invasive,10
butia yatay,native,1
foxes,native,1
alien plant species,invasive,6
gobio gobio,native,4
cyprinus carpio,-,2
salmo trutta,-,2
campylopus introflexus,invasive,6
bryophyte,invasive,1
mollusca,non-native invasive,1
osteichthyes,non-native,1
anseriformes,non-native,1
mammalia,non-native,1
angiospermae,non-native invasive,1
rattus exulans,invasive,5
pteropus spp.,native,1
ducula goliath,native,1
ficus racemigera,native,1
freycinetia sulcata,native,1
mytilicola intestinalis,established,1
cerastoderma edule,native,2
macoma balthica,native,4
mustela nivalis,invasive,2
cancer irroratus,native,1
lemna minor,invasive,1
lemna minuta,invasive,8
azolla filiculoides,invasive,8
elodea nuttalli,introduced,1
odontesthes hatcheri,native,2
odontesthes bonariensis,introduced,2
castanea sativa,native,5
larix decidua,native,1
exotic annual grasses,introduced,1
native plant communities,native,6
pallas's squirrel,alien,1
eurasian red squirrel,native,5
artiodactyls,introduced,2
anseriformes,introduced,1
galliformes,introduced,1
rosa canina,invasive,3
spathoglottis plicata,non-indigenous,1
stethobaris polita,native,1
lepus timidus,native,1
lepus europaeus,introduced,4
lepus timidus sylvaticus,native,1
lepus timidus timidus,native,1
lepus timidus scoticus,native,1
lepus timidus varronis,native,1
irish hare,native,1
rose-ringed parakeet,alien,2
puerto rican coqui frog,introduced,1
hawaii amakihi,native,1
japanese white-eye,native,1
red-billed leiothrix,native,1
hawaiian hoary bat,native,1
hawkweed,invasive,2
didymozoan fluke worms,native,1
parasitic copepods,native,1
argentine ant,native/introduced/alien/invasive,1
pterois miles,invasive,13
lake sturgeon (acipenser fulvescens),native,1
dreissenid mussels (driessena polymorpha and driessena bugensis),invasive,1
round goby (neogobius melanostomus),invasive,7
ponto-caspian round goby,invasive,1
asian topmouth gudgeon,invasive,1
c. bairdi,native,1
bitterling,native,1
zeugodacus cucurbitae,invasive,1
insect pests,invasive,3
batrachochytrium dendrobatidis,invasive,5
telmatobius culeus,native,1
mustela furo,introduced,1
mustela erminea,introduced,1
mustela nivalis,introduced,2
european rabbits,introduced,1
cats,native,1
pallas’s squirrel,invasive,2
ulmus pumila,invasive,2
elm,-,1
ulmus rubra,native,1
ulmus minor,native,4
lutjanus campechanus,-,1
rhomboplites aurorubens,-,1
ciona robusta,invasive,4
sorghum halepense,invasive,7
erinaceus europaeus,introduced,1
dunlin,native,1
lapwing,native,1
redshank,native,1
snipe,native,1
ringed plover,native,1
perca flavescens,native,1
serotinous pine,introduced,1
non-serotinous pine,introduced,1
psittacula krameri,non-native/invader,1
schizoporella japonica,invasive,1
shelled molluscs,introduced,1
cystoseira brachycarpa,native,1
caulerpa cylindracea,non-native,2
invasive non-native species (inns),invasive,3
terrestrial species,invasive,1
aquatic species,invasive,2
lotic freshwater species,invasive,1
marine species,invasive,1
paramysis lacustris,invasive,1
cattle,introduced,8
horses,introduced,1
deers,introduced,1
berberis darwinii,-,1
nannoperca australis,native,1
woody plants,introduced,1
mammals,introduced,9
fungi,introduced,1
oomycetes,introduced,1
bacteria,introduced,4
viruses,introduced,1
tree pests and pathogens,invasive,1
american bullfrog (lithobates catesbeianus),introduced,2
crayfish,introduced,4
non-indigenous invertebrate species,non-indigenous,1
non-indigenous vertebrate species,non-indigenous,1
pinaceae,invasive,2
invertebrate species,invasive,1
japanese knotweed,invasive,4
solenopsis geminata,invasive,5
earthworms,non-native,3
reticulitermes flavipes,invasive,6
pterois sp.,invasive,1
cephalopholis cruentata,native,3
lutjanus apodus,native,1
red-vented bulbul (pycnonotus cafer),invasive,1
exotic invasive earthworms,invasive,1
acer sacharrum,native,1
humulus japonicus,invasive,2
galium aparine,native,1
xenylla sp.,non-native,1
macquaria novemaculeata,native,2
prochilodus hartii,native,1
prochilodus argenteus,introduced,1
prochilodus costatus,introduced,1
prochilodus lineatus,introduced,1
echinogammarus berilloni,native,2
cucumispora dikerogammari,co-introduced,1
diabrotica virgifera virgifera,native,1
hemlock woolly adelgid,introduced,1
doghobble,native,1
rosebay rhododendron,native,1
rubus spp.,native,1
hieracium aurantiacum,invasive,1
spartocytisus supranubius,endemic,1
pterocephalus lasiospermus,endemic,1
phytophthora species,invasive,1
phytophthora ramorum,invasive,5
introduced garden-plant species,introduced,1
naturalized garden plants,naturalized,1
exotic pests,introduced,1
insects,introduced,2
plant pathogens,introduced,1
exotic forest pests,introduced,1
sessile invertebrate species,-,1
non-indigenous species (nis),non-indigenous,2
ascidians,introduced,3
serpulids,introduced,1
bryozoans,introduced,2
sabellid worms,introduced,1
phalacrotophora,native,1
crickets,native,1
common waxbill (estrilda astrild),non-native,1
invasive alien plant (iap) species,invasive,1
native plant,native,5
reef fish,native,1
lutjanids,native,1
groupers,native,1
weeds,invasive,7
imported red fire ants,exotic,1
s. invicta,exotic,1
anadara transversa,introduced,1
axis axis,invasive,3
exotic ungulates,invasive,1
dryocosmus kuriphilus,invasive,5
cryphonectria parasitica,native,1
torymus sinensis,introduced,4
oaks,native,2
pines,native,2
ashes,native,1
lumbricus rubellus,introduced,2
lumbricus terrestris,introduced,2
aporrectodea sp.,introduced,1
dendrobaena octaedra,native,1
gymnocephalus cernua,native,2
perca fluviatilis,-,2
sander lucioperca,-,1
gobiids,invasive,1
forficula auricularia,invasive,2
acacia mangium,invasive,3
marcetia taxifolia,native,1
acacia,invasive,9
pseudodiaptomus inopinus,invasive,1
deschampsia antarctica,native,5
colobanthus quitensis,native,5
branta canadensis,alien,1
rattus norvegicus,alien,1
ondatra zibethicus,alien,1
cervus nippon,alien,1
muntiacus reevesi,alien,1
spartina anglica,non-native,1
spartina townsendii,non-native,1
paysandisia archon,invasive,3
chamaerops humilis,native,2
perna viridis,native/introduced,1
charybdis hellerii,invasive,4
sand-goanna,native,1
echinocystis lobata,invasive,5
erigeron canadensis,invasive,3
microalgal,-,1
non-hominid primates,invasive,1
leptocybe invasa,invasive,4
eulophidae,-,1
mitochondrial haplogroup 1,introduced,1
mitochondrial haplogroup 2,introduced,1
mitochondrial haplogroup 3,native,1
bromus madritensis,invasive,1
resident species,native,10
pacifastacus leniusculus,non-indigenous,3
didymosphenia geminata,-,1
eriocheir sinensis,invasive,16
pacifastacus leniusculus,alien,7
cystoseira balearica,native,1
azolla pinnata,alien,1
azolla rubra,native,1
alnus glutinosa,introduced,1
alnus incana,introduced,1
alnus rubra,introduced,1
native freshwater fishes,native,2
acer ginnala (amur maple),invasive,1
horse,introduced,1
european hare,introduced,2
wild boar,introduced,6
paraná pine,native,1
araucaria angustifolia,native,1
semimytilus algosus,native/introduced/alien/invasive,2
mytilus edulis,native/introduced/alien/invasive,1
mussels,native/introduced/alien/invasive,1
marine invertebrates,native/introduced/alien/invasive,1
ficus rubiginosa,introduced,1
pleistodontes imperialis sp. 1,introduced,1
> 20 non-pollinating wasp species,native,1
vespula germanica,invasive,10
non-native plants,non-native,13
european smelt,introduced,2
european whitefish,native,1
arctic charr,native,1
centaurea calcitrapa,naturalized,1
pseudococcus viburni,invasive,1
poaceae,introduced/invasive,1
tall-statured grasses (tsgs),invasive,1
woody bamboos,invasive,1
phytolacca americana,invasive,5
eulachnus brevipilosus,invasive,1
essigella californica,invasive,2
cinara pilicornis,invasive,1
elatobium abietinum,invasive,1
leucaspius delineatus,invasive,1
scardinius erthrophthalamus,native,1
buddleja davidii,invasive,5
generalist herbivore species,native,1
pathogenic fungus,native,1
non-native weed species,non-native,2
eragrostis lehmanniana,nonnative,1
eragrostis curvula,nonnative,1
grassland arthropods,native,1
obama nungara,invasive,4
geoplanidae,alien,1
tilapias,introduced,2
native malagasy cichlids,native,1
non-native cichlids,introduced,1
mus musculus,invasive,9
terrestrial alien true ferns,alien,1
salvelinus fontinalis,introduced,2
mytilus edulis trossulus,native,2
clangula hyemalis,native,1
goldenrod,invasive,3
bees,native,3
butterflies,native,4
hover flies,native,1
stellaria media,alien,1
austropuccinia psidii,alien,1
myrtaceae,native,2
canis dingo,native,3
oryctolagus cuniculus,introduced,7
acridotheres tristis,invasive,7
xenopus laevis,invasive,17
metazoan parasites,native,1
dreissena rostriformis,invasive,3
small hive beetle,invasive,2
eurasian beaver,native,3
north american beaver,invasive,4
duttaphrynus melanostictus,invasive,1
asian toad,invasive,1
micropterus salmoides,introduced,5
micropterus dolomieu,introduced,2
micropterus punctulatus,introduced,1
black bass (micropterus spp.),introduced,1
pseudorasbora parva,alien/invasive,1
chironomid larvae,native,2
daphnia magna,native,2
house mouse,invasive,4
reptiles,native,8
oeceoclades maculata,invasive,1
terrestrial invertebrates,native,1
conifer,alien,2
alien species,alien/invasive,5
herpestes auropunctatus,non-native,1
rattus spp.,non-native,1
rattus exulans,non-native,1
cyprinid herpesvirus 3 (cyhv-3),introduced,1
common carp (cyprinus carpio l.),invasive,1
aeonium arboreum,alien,1
aeonium haworthii,alien,1
trichocorixa verticalis,alien,2
native water boatmen,native,1
corixid,native/alien,1
alien plants with fleshy-fruits,alien,1
native fleshy-fruited species,native,1
frugivores,native,4
varroa destructor,invasive,4
phragmites australis australis,non-native,1
phragmites australis americanus,native,2
archanara spp.,introduced,1
perca fluviatilis,native,10
myoxocephalus quadricornis,native,1
leuciscus ide,native,1
gymnocephalus cernuus,native,1
blicca bjoerkna,native,2
rails and allies (rallidae),native,1
virtual species,introduced,2
lactuca sativa,native,3
canarina canariensis,native,2
apis mellifera,alien,2
phylloscopus canariensis,-,1
cyanistes teneriffae,-,1
sylvia melanocephala,-,1
gallotia galloti,-,1
gonepteryx cleobule,-,1
freshwater fish,introduced,5
angling fish species,introduced,1
rattus norvegicus,native/introduced/alien/invasive,1
rattus rattus,native/introduced/alien/invasive,1
mus domesticus,native/introduced/alien/invasive,1
tyto alba,native/introduced/alien/invasive,1
vespa velutina nigrithorax,introduced,1
fungi,invasive,3
arundo donax,potentially invasive,1
miscanthus × giganteus,potentially invasive,2
panicum virgatum,potentially invasive,1
phalaris arundinacea,potentially invasive,1
phragmites australis,potentially invasive,1
polyploid species complexes,introduced,1
pinus contorta,exotic,1
wilding conifers,naturally regenerated scions of exotic conifer species,1
alien animals,alien,2
alien algae,alien,2
local invertebrates,-,2
carnivorous species,introduced,1
herbivorous species,introduced,1
beauveria bassiana,-,2
didemnum vexillum,invasive,15
desmodium uncinatum,naturalised,1
grey squirrel,introduced,1
agapornis,introduced,1
racer goby,invasive,1
bighead goby,invasive,1
aleppo pines (pinus halepensis),invasive,1
nicotiana glauca,introduced,1
common green iguana,invasive,1
cuban treefrog,invasive,1
venezuela snouted treefrogs,alien,1
thaumetopoea processionea,invasive,3
pelophylax bergeri,invasive,1
pelophylax lessonae,native,3
pelophylax esculentus,native,2
hybridogens,non-native,1
sphaerothecum destruens,parasite,2
leucaspius delineatus,native,2
pungitius pungitius,native,2
gasterosteus aculeatus,native (asymptomatic carrier),1
native plant and animal species,native,1
leiothrix lutea,invasive,1
pulvinariella mesembryanthemi,introduced,1
carpobrotus sp.,invasive,2
rickettsiaceae,-,1
invasive animal species,invasive,1
resident plant species,native,2
generalized species,native,1
specialized species,native,1
rabbits,invasive,5
native small mammals,native,1
ficus microcarpa,invasive,2
trioza brevigenae,introduced,1
asian fig wasp species,introduced,1
polyphagous insect species,introduced,1
centaurea solstitialis,non-native,1
native seabirds,native,1
asparagopsis armata,invasive,15
asparagopsis taxiformis,-,1
pseudodiaptomus marinus,non-indigenous,1
lissotriton graecus,native,1
ostracoda,-,1
copepoda,-,2
isopoda,-,2
ephemeroptera,-,2
amphipoda,-,3
chironomus,-,1
notonecta,-,1
amphipoda,native,1
lepidoptera,native,2
land birds,native,1
seabirds,native,3
endemic land bird sub-species of pipit and snipe,native,1
passeriformes,alien,1
psittaciformes,alien,1
passeriformes,native,1
bitterling rhodeus sericeus,invasive,1
tanacetum vulgare,native,1
chelidonium majus,native,1
arabidopsis thaliana,native,2
european rabbit,introduced,2
acacia mearnsii,invasive,17
phoenix canariensis,native,2
rhynchophorus ferrugineus,invasive,7
hylurgus ligniperda,invasive,2
hylastes ater,invasive,1
h. angustatus,invasive,1
orthotomicus erosus,invasive,1
o. laricis,invasive,1
cacti,alien,2
small aquatic organisms,introduced,1
large ranid frogs,introduced,1
piscivorous freshwater fishes,alien,1
tall-statured grasses,alien,1
tree-feeding insects,alien,1
rubus fruticosus,native,1
lactuca sativa var. capitata,-,1
nasturtium officinale,-,1
ferret,invasive,1
raccoons,invasive,2
tanuki,native,1
masked palm civets,invasive,1
austropuccinia psidii,invasive,4
amphilophus labiatus,introduced,1
cichlid fishes,-,2
aoudad,exotic,1
iberian ibex,native,1
pontoscolex corethrurus,invasive,6
terrestrial invertebrate species,alien,1
phoxinus,introduced,1
phoxinus bigerri,introduced,1
sars-cov-2 virus,invasive,1
invasive birds,invasive,3
invasive fungi,invasive,1
parus major,native,2
native ant community,native,1
pinus halepensis,invasive,2
nasella tenuis,native,1
piptochaetium lejopodum,native,1
feral horses,introduced,2
pinus elliottii,invasive,2
pinus taeda,invasive,3
mus musculus domesticus,invasive,10
mastomys erythroleucus,native,2
mathevotaenia symmetrica,-,1
non-native ungulates,non-native/invasive,1
odonata (dragonflies),-,1
oligochaeta,-,2
oncorhynchus mykiss,invasive,10
percichthys trucha,native,3
terrestrial and freshwater vertebrate species,introduced,1
crassula helmsii,invasive,6
pilularia globulifera,native,1
littorella uniflora,native,1
iris pseudacorus,alien,1
callosciurus erythraeus,introduced,8
sympatric native mammals,native,1
macroparasites,-,1
ventenata dubia,invasive,1
azores woodpigeon (columba palumbus azorica),native,1
black rat,introduced,1
pseudopolydora paucibranchiata,native,1
pseudopolydora paucibranchiata,non-indigenous,1
pseudopolydora vexillosa,non-indigenous,1
pseudopolydora sp. a,non-indigenous,1
pseudopolydora sp. b,non-indigenous,1
mermessus trilobatus,invasive,2
oedothorax apicatus,native,1
cotoneaster franchetii,non-native,1
polylepis australis,native,2
maytenus boaria,native,2
macrophytes,invasive,2
limnephilus lunatus,native,1
elodea nuttallii,non-native,1
crassula helmsii,non-native,1
lagarosiphon major,non-native,2
ranunculus ficaria,invasive,1
root-associated fungi,-,1
dyspanopeus sayi,non-native,1
callinectes sapidus,non-native,1
portunus segnis,possible future invasive,1
brachyuran crab,native,1
barbus barbus,invasive,4
barbus plebejus,native,3
barbus tyberinus,native,5
cedrela odorata,introduced,1
exotic conifers,invasive,1
rattus norvegicus,invasive,15
naturalised plant species,introduced,1
native flora,native,5
feral dogs,introduced,1
phoxinus septimaniae,introduced,1
phoxinus csikii,introduced,1
phoxinus lumaireul,native,1
elaenia albiceps,native,1
turdus falcklandii,native,1
non-native fleshy-fruited plants,introduced,1
erysiphe alphitoides,invasive,1
erysiphe quercicola,invasive,1
erysiphe,invasive,1
chironomid larvae,prey,1
bactrocera tryoni,invasive,1
bactrocera aquilonis,native,1
raptors,native/introduced,1
exotic raptors,exotic/introduced,1
harris’s hawk,introduced,1
peregrine falcons,introduced,1
bombus terrestris,non-native,1
bombus ruderatus,non-native,1
ornamental wind- or bird-dispersed trees,introduced,1
pleurobranchaea maculata,non-native,1
hemidactylus frenatus,native and introduced,1
silver pheasant,introduced,1
california quail,introduced,1
mallard,introduced,1
graylag goose,introduced,1
rock pigeon,introduced,1
european greenfinch,introduced,1
european goldfinch,introduced,1
european starling,introduced,1
crested myna,introduced,1
house sparrow,introduced,2
melanagromyza sojae,invasive,1
phytophthora,native/introduced,1
vascular plant species,-,3
invertebrate invasive species,invasive,1
spirochaeta,-,1
propionigenium,-,1
arcobacter,-,1
echinogammarus veneris,native,1
odonate nymphs,native,1
erpobdella octoculata,native,1
apocorophium lacustre,native,1
corophium multisetosum,native,1
reynoutria spp.,invasive,3
plants,native,5
detritivores,native,3
canis familiaris,invasive,1
cervus elaphus,invasive,1
columba livia,invasive,1
lepus europaeus,invasive,2
naturalized species,introduced,2
casual aliens,introduced,1
annual and perennial herbs,alien,1
woody tree species,alien,1
discostella asterocostata,introduced,1
eragrostis albensis,invasive,1
eragrostis amurensis,invasive,1
eragrostis imberbis,invasive,1
eragrostis multicaulis,invasive,1
eragrostis pilosa,invasive,1
small indian mongoose,introduced,1
carpobrotus edulis,non-native,1
theba pisana,non-native,1
hydrocotyle bonariensis,native,1
calystegia soldanella,non-native,1
plantago coronopus,alien,1
rumex obtusifolius,introduced,3
rumex conglomeratus,introduced,3
prosopis caldenia,native,1
chenopodium album,non-native,1
ponto-caspian round goby (neogobius melanostomus),invasive,1
bullhead (cottus gobio),native,1
lepidosaphes ulmi,invasive,1
populus tremuloides,native,3
odocoileus virginianus,native,4
non-native earthworms,non-native,1
certain introduced plants,introduced,1
asparagopsis taxiformis,native,2
pines,invasive,4
diaphorina citri,invasive,5
annual species,alien,2
woody species,alien,2
worst invasive alien species,invasive,1
other invasive species,invasive,1
alytes dickhilleni,native,1
xylella fastidiosa,introduced,2
weed species,introduced,1
grasses,introduced,1
trees/shrubs,introduced,1
palaemon elegans,non-native,1
rattus,invasive,5
aedes,invasive,2
canis,invasive,1
oryctolagus,invasive,1
sturnus,invasive,1
ceratitis,invasive,2
sus,invasive,1
lymantria,invasive,2
benthic invertebrates,-,2
latrodectus hasselti,invasive,1
spiders,native,3
jumping worms,invasive,1
non-native plant,non-native,3
pilosella,invasive,1
hieracium,invasive,2
pilosella officinarum,invasive,1
-,introduced,2
american mink,alien,1
duck,native,1
quercus spp.,native,3
tubakia spp.,potentially invasive,1
t. dryina,potentially invasive,1
t. suttoniana,potentially invasive,1
t. hallii,potentially invasive,1
t. macnabbii,potentially invasive,1
ligustrum lucidum,alien,4
native anurans,native,1
arianta arbustorum,native,1
oncorhynchus tshawytscha,invasive,1
vulpia australis,native,1
bromus setifolius,native,1
anisorhynchodemus cf. signata,alien,1
australopacifica atrata,alien,1
australoplana cf. sanguinea alba,alien,1
bipalium kewense,alien,2
bipalium vagum,alien,2
caenoplana cf. dendyi,alien,1
caenoplana cf. decolorata,alien,1
caenoplana coerulea,alien,1
caenoplana variegata,alien,1
diversibipalium multilineatum,alien,2
diversibipalium 'black',alien,1
endeavouria septemlineata,alien,1
obama nungara,alien,1
emerald ash borer,invasive,7
white fringetree,native,1
ash trees (fraxinus spp.),native,2
white ash (f. americana),native,1
faxonius limosus,invasive,8
aphanomyces astaci,pathogen,6
european starling (sturnus vulgaris),introduced,1
planiliza haematocheilus,invasive,1
helminth parasites,-,2
carcinus aestuarii,invasive,1
nonnative species,alien,1
alien test species,alien,1
native test species,native,2
the most invasive alien test species,invasive,1
house crow (corvus splendens),invasive,1
cynoscion regalis (weakfish),invasive,1
vanessa virginiensis,introduced,1
fabaceae,alien,6
brachypodium hybridum,invasive,2
brachypodium distachyon,native,2
bacillus spp.,-,1
proteobacteria,-,2
firmicutes,-,3
erwinia,-,1
pseudomonas,-,1
callinectes sapidus,invasive,16
myiopsitta monachus,introduced,1
asian common toad,introduced,2
malagasy cat-eyed snake,native,1
bufo japonicus formosus,invasive,2
common carp (cyprinus carpio),invasive,3
alien vascular plants,alien,1
poaceae,alien,5
hymenoscyphus fraxineus,invasive,7
fraxinus excelsior,native,7
styela clava,alien,1
cotoneaster franchetii,invasive,1
cercozoa,native,1
woronina pythii,native,1
invasive alien species (ias),invasive,23
exotic plants,invasive,7
neophytes,invasive,2
archaeophytes,invasive,1
oncorhynchus mykiss,non-native,3
cyprinus carpio,non-native,2
non-native freshwater fish,non-native/introduced/invasive,1
silurus glanis,invasive,5
parkinsonia microphylla,native,1
native perennials,native,2
corbicula,invasive,3
spherotecum destruens,parasite,1
vespula vulgaris,invasive,9
vespula germanica,introduced,4
bradyrhizobium,native/introduced,1
artemia salina,native,3
artemia monica (=a. franciscana),introduced/invasive,1
artemia urmiana,invasive,1
artemia sinica,invasive,1
invasive alien insects,invasive,2
minnows (phoxinus sp.),introduced,1
sphaerothecum destruens,pathogen,1
invasive ants,invasive,6
camptosema rubicundum,introduced,1
musa xparadisiaca,introduced,1
ipomoea hederacea,introduced,1
pelargonium graveolens,introduced,1
schinus terebinthifolia,introduced,1
aeonium arboreum,introduced,1
asparagus asparagoides,introduced,1
aspidistra elatior,introduced,1
bidens sulphurea,introduced,1
catalpa bignonioides,introduced,1
citrus xaurantium,introduced,1
crassula ovata,introduced,1
cucurbita ficifolia,introduced,1
dimorphotheca ecklonis,introduced,1
graptopetalum paraguayense subsp. paraguayense,introduced,1
kalanchoe laxiflora,introduced,1
nicotiana tabacum,introduced,1
phytolacca dioica,introduced,1
portulaca umbraticola,introduced,1
talinum paniculatum,introduced,1
tecomaria capensis,introduced,1
amaranthus,alien,3
prunus,alien,1
euphorbia,alien,2
oxalis,alien,3
rumex crispus,introduced,2
r. communis,invasive,1
k. densiflora,invasive,1
c. jubata,invasive,1
p. aquilinum,invasive,1
m. minutiflora,invasive,1
pine bark beetles,introduced,1
pinus species,native,1
pinus kesiya,invasive,1
uapaca bojeri,native,1
parasite,co-introduced/acquired,1
idotea balthica,native,1
rhithropanopeus harrissii,invasive,1
grey wolf,native,1
eurasian lynx,native,1
eurasian badger,native,1
corythucha arcuata,invasive,4
sericostoma sp.,native,1
rhynochetos jubatus,native,1
millipedes,native,1
alien ornamental plants,alien,1
unregulated ornamental alien species,alien,1
fucoid species,native,1
ponto-caspian amphipods,alien,1
ficaria verna,native/introduced,1
elodea nuttallii,invasive,16
bullfrog post-metamorphs,invasive,1
bullfrog tadpoles,invasive,1
terrestrial insects,alien,3
galaxiid fishes,native,3
enterobacteriaceae,facilitator/symbiont,1
carpobrotus edulis,native/introduced,1
philaenus spumarius,-,1
pulvinariella mesembryanthemi,specialist,1
invasive alien mammals,invasive,2
oreochromis niloticus,non-native,1
coptodon rendalli,non-native,1
cichla kelberi,non-native,1
non-native freshwater fish,non-native,2
pterygoplichthys disjunctivus,invasive,3
armoured catfishes (loricariidae),invasive,1
cirrhinus cirrhosus,native,1
labeo rohita,native,1
catla catla,native,1
halophila stipulacea,native,1
halophila stipulacea,invasive,12
bivalves,invasive,2
phelsuma grandis,native/introduced/alien/invasive,1
phelsuma laticauda,native/introduced/alien/invasive,1
agrilus planipennis,invasive,12
fraxinus nigra,native,2
fraxinus pennsylvanica,native,2
carcinus maenas,native,8
cecropia peltata,non-native,1
musanga cecropioides,native,1
rana lessonae,native,1
dilocarcinus pagei,exotic,1
macrobrachium rosenbergii,exotic,1
macrobrachium amazonicum,exotic,1
macrobrachium jelskii,exotic,1
indigenous tree species,native,2
cashew nut,non-native,1
micro-organisms,invasive,1
natrix maura,introduced,1
alytes muletensis,native,1
equus asinus,introduced,1
eurytopic species,-,1
limnophilic species,-,1
rheophilic species,-,1
ground beetles,native,1
kunzea ericoides,native,3
ulex europaeus,introduced,3
geophagus proximus,introduced,1
plagioscion squamosissimus,introduced,1
cichla ocellaris,introduced,1
geophagus brasiliensis,native,2
syzygium jambos,invasive,2
exotic plant species,alien,3
wild ungulates,native,1
browsing and mixed-feeding antelopes,native,1
grazing species,native,1
elephants,native,1
native woodland plant communities,native,1
non-indigenous species,nonindigenous,1
forest specialists,native,2
forest generalists,native,1
non-forest species,native,1
fish species,-,4
passerine,introduced,1
acacia spp.,invasive,4
orchestes fagi,native,1
protected species,native,2
woody native plants,native,1
ditiscidae,native,1
notonectidae,native,1
anisoptera larvae,native,1
amphibian larvae,native,1
poaceae,-,4
domestic cat,invasive,1
plant species,native,3
poa annua l.,alien,1
müller's sundamys,native,1
asian black rat,invasive,1
asian house shrew,invasive,1
norway rat,invasive,1
"non-flying small mammals (muridae, sciuridae, tupaiidae)",native,1
native and endemic plant species,native,1
naturalized non-native species,alien,1
native biodiversity,native,2
domestic dogs,non-native,1
red foxes,non-native,1
raptors,native,3
avian scavengers,native,1
squamates,native,1
non-siphonophoran hydrozoa,native/introduced,1
non indigenous species,introduced,2
non-native plants,introduced,8
cyanobacteria,invasive,1
toxic cyanobacteria,invasive,1
non-toxic cyanobacteria,invasive,1
bar-shouldered skink (ctenotus inornatus),-,1
golden jackal (canis aureus),naturally expanding,1
aprasia parapulchella,threatened,1
themeda triandra,native,3
poa sieberiana,native,1
endemic carnivore fauna,native,1
pacific oysters,non-native,1
"monogenea, polystomatidae",introduced,1
annuals,non-native,1
nonnative species,non-native/alien/invasive,1
endangered and threatened species,native,1
invasive vertebrates,invasive,4
endangered or threatened plants,native,1
lophura nycthemera,introduced,1
native seed disperser birds,native,1
aristotelia chilensis,native,1
rhaphithamnus spinosus,native,1
rubus ulmifolius,invasive,1
ctenodesma borneensis,native,1
sinanodonta lauta,non-native,1
carpobrotus,invasive,5
oecobius navus,-,1
xysticus,-,1
aelurillus v-insignatus,-,1
nomisia celerima,-,1
zodarion elegans,-,1
wyoming big sagebrush,native,1
crested wheatgrass,introduced,2
cheatgrass,invasive,3
cyperus malaccensis,native,6
native species of northern australia,native,1
water hyacinth,invasive,7
bryophytes,native,3
vascular plants,native,3
arthropods,native,4
endemic bryophytes,native,1
endemic vascular plants,native,1
endemic arthropods,native,3
benthic marine crustacea,-,1
eucalyptus nitens,exotic,2
eucalyptus ovata,native,4
tetramorium sp.e,invasive,1
tetramorium tsushimae,invasive,2
mya arenaria,native/introduced,1
orthodontium gracile,native,1
orthodontium lineare,invasive,2
mauremys mutica,-,1
mauremys reevesii,introduced,1
mauremys sinensis,-,1
hybrid turtles,introduced,1
bombus spp.,introduced,1
oreochromis esculentus,native,1
lates niloticus,invasive,1
cervus elaphus,introduced,3
vanilla roscheri,native,1
gongylomorphus bojerii,native,1
california kingsnake (lampropeltis californiae),introduced,1
hyla arborea,native,1
hyla intermedia,introduced,1
triturus cristatus,native,5
triturus carnifex,invasive,3
threespine stickleback,native and invasive,1
chalinolobus tuberculatus,native,1
invasive mammalian predators,invasive,2
wami tilapia,native,1
